DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,l_bmi_all_fe,l_bmi_ur_fe,l_bmi_ru_fe,h_bmi_all_fe,h_bmi_ur_fe,h_bmi_ru_fe,hh_bmi_all_fe,hh_bmi_ur_fe,hh_bmi_ru_fe,hhh_bmi_all_fe,hhh_bmi_ur_fe,hhh_bmi_ru_fe,h_hemoglobin_all_fe,h_hemoglobin_ur_fe,h_hemoglobin_ru_fe,l_hemoglobin_all_fe,l_hemoglobin_ur_fe,l_hemoglobin_ru_fe,hh_hemoglobin_all_fe,hh_hemoglobin_ur_fe,hh_hemoglobin_ru_fe,h_hemoglobin_all_pw,h_hemoglobin_ur_pw,h_hemoglobin_ru_pw,l_hemoglobin_all_pw,l_hemoglobin_ur_pw,l_hemoglobin_ru_pw,hh_hemoglobin_all_pw,hh_hemoglobin_ur_pw,hh_hemoglobin_ru_pw,h_hemoglobin_all_npw,h_hemoglobin_ur_npw,h_hemoglobin_ru_npw,l_hemoglobin_all_npw,l_hemoglobin_ur_npw,l_hemoglobin_ru_npw,hh_hemoglobin_all_npw,hh_hemoglobin_ur_npw,hh_hemoglobin_ru_npw,h_glucose_all_fe,h_glucose_ur_fe,h_glucose_ru_fe,hh_glucose_all_fe,hh_glucose_ur_fe,hh_glucose_ru_fe,l_glucose_all_fe,l_glucose_ur_fe,l_glucose_ru_fe,h_bp_all_fe,h_bp_ur_fe,h_bp_ru_fe,l_bp_all_fe,l_bp_ur_fe,l_bp_ru_fe,hh_bp_all_fe,hh_bp_ur_fe,hh_bp_ru_fe,hhh_bp_all_fe,hhh_bp_ur_fe,hhh_bp_ru_fe,hhhh_bp_all_fe,hhhh_bp_ur_fe,hhhh_bp_ru_fe,hh_cbp_all_fe,hh_cbp_ur_fe,hh_cbp_ru_fe,h_cbp_all_fe,h_cbp_ur_fe,h_cbp_ru_fe,l_cbp_all_fe,l_cbp_ur_fe,l_cbp_ru_fe,sum_bp_all_fe,ad_hbp_all_fe,ad_lowbp_all_fe,ad_elevatedbp_all_fe,ad_highbp_all_fe,adseverebp_all_fe,sum_bp_ur_fe,ad_hbp_ur_fe,ad_lowbp_ur_fe,ad_elevatedbp_ur_fe,ad_highbp_ur_fe,adseverebp_ur_fe,sum_bp_ru_fe,ad_hbp_ru_fe,ad_lowbp_ru_fe,ad_elevatedbp_ru_fe,ad_highbp_ru_fe,adseverebp_ru_fe,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma,sum_bp_all_ma,ad_hbp_all_ma,ad_lowbp_all_ma,ad_elevatedbp_all_ma,ad_highbp_all_ma,adseverebp_all_ma,sum_bp_ur_ma,ad_hbp_ur_ma,ad_lowbp_ur_ma,ad_elevatedbp_ur_ma,ad_highbp_ur_ma,adseverebp_ur_ma,sum_bp_ru_ma,ad_hbp_ru_ma,ad_lowbp_ru_ma,ad_elevatedbp_ru_ma,ad_highbp_ru_ma,adseverebp_ru_ma
Auraiya,Uttar Pradesh,9,162,0.219002247,0.176175863,0.229860529,0.656207025,0.586299598,0.673931479,0.0877546,0.134686291,0.075855456,0.037036106,0.102838248,0.020352507,0.284960896,0.251462817,0.293184698,0.713565767,0.741062284,0.706815302,0.001473379,0.007474886,0,0.300557315,0.293090224,0.302589625,0.699442685,0.706909776,0.697410345,0,0,0,0.284085333,0.248914242,0.292668432,0.714358568,0.743153214,0.707331598,0.00155609,0.007932528,0,0.690198064,0.765812814,0.671634555,0.113283381,0.138246506,0.107154898,0.196518525,0.09594065,0.221210539,0.663933814,0.657100976,0.665640354,0.037883837,0.039930332,0.037372712,0.042642947,0.037124708,0.044021163,0.221168205,0.207609296,0.224554628,0.057099272,0.08941751,0.049027607,0.013387087,0.015527362,0.01285254,0.359843314,0.353328377,0.361470461,0.626769602,0.631144285,0.62567699,1.022728086,0.64917922,0.037041944,0.041695293,0.216253191,0.055830356,1.031182766,0.637230396,0.038722847,0.036002066,0.201331228,0.086713545,1.020616412,0.65219444,0.036617786,0.043131936,0.22001864,0.04803725,0.496863365,0.531580508,0.485289216,0.335881472,0.30474484,0.346261919,0.167255163,0.163674653,0.168448851,0.446118087,0.294803023,0.49802953,0.035473257,0.073031008,0.022588365,0.134384751,0.176968992,0.119775437,0.353095323,0.425629497,0.328211129,0.061558776,0.057795461,0.062849849,0.022272607,0.028227983,0.020229504,0.50508076,0.5,0.506823778,0.472646654,0.471772015,0.472946703,1.030630231,0.43285951,0.034418996,0.130390853,0.342601359,0.059729256,1.028227925,0.286709815,0.071026087,0.172110662,0.413944691,0.056208804,1.031454325,0.482842058,0.021899531,0.116122872,0.318202287,0.060933236
Kanpur Dehat,Uttar Pradesh,9,163,0.255852222,0.164848149,0.265829802,0.629134417,0.609947443,0.631238043,0.090174705,0.134885386,0.085272677,0.024838656,0.090318993,0.017659472,0.321326911,0.33362183,0.319992781,0.678673089,0.6663782,0.680007219,0,0,0,0.143503398,0,0.147618443,0.856496572,1,0.852381527,0,0,0,0.332948744,0.339553803,0.332194716,0.667051256,0.660446167,0.667805314,0,0,0,0.665721655,0.663208425,0.665994406,0.117474131,0.137192324,0.115334496,0.216804206,0.199599266,0.218671128,0.687588573,0.599255979,0.697173595,0.050544307,0.059612017,0.049560364,0.040093772,0.058381107,0.038109399,0.195734397,0.254021376,0.189409629,0.036625274,0.03867203,0.036403179,0.006382359,0,0.007074913,0.309415877,0.291451037,0.311365247,0.684201777,0.708548963,0.681559861,1.010586262,0.680385828,0.050014835,0.039673775,0.193684012,0.03624161,1.009942532,0.59335649,0.059025157,0.057806365,0.251520634,0.038291316,1.010656118,0.689822733,0.04903781,0.037707582,0.187412545,0.036019351,0.458980173,0.605664492,0.440210015,0.339452356,0.201888159,0.357055485,0.201567471,0.192447364,0.202734515,0.540604174,0.559912801,0.538133383,0.055740926,0.100944079,0.04995659,0.105203599,0.100944079,0.105748653,0.261033744,0.192447364,0.269810259,0.060708977,0.146695718,0.049705848,0.006408598,0,0.007228662,0.44394514,0.458968759,0.442022651,0.549646258,0.541031241,0.550748646,1.023291469,0.528299332,0.054472189,0.102809027,0.255092263,0.059327159,1.100944042,0.508575141,0.091688655,0.091688655,0.174802125,0.133245394,1.013354778,0.531041443,0.049298223,0.104355015,0.266254485,0.049050786
Kanpur Nagar,Uttar Pradesh,9,164,0.146518022,0.125278935,0.200121388,0.684169829,0.681949615,0.689773262,0.12532571,0.140839353,0.086172245,0.043986451,0.051932123,0.023933096,0.375347227,0.389975995,0.338427484,0.623760879,0.609561265,0.659597635,0.000891885,0.000462777,0.001974856,0.327213883,0.408169597,0.172129422,0.672786117,0.591830373,0.827870607,0,0,0,0.377738267,0.389150292,0.348515928,0.621325552,0.610365927,0.649389446,0.000936189,0.00048378,0.00209466,0.716336846,0.729711056,0.682583392,0.220355183,0.216249198,0.230717778,0.063307971,0.054039776,0.086698838,0.549358606,0.533059239,0.590191603,0.010074915,0.006896052,0.018038576,0.068741083,0.072088376,0.06035547,0.325861275,0.338873714,0.293262601,0.063142404,0.065004438,0.058477659,0.010912694,0.009606525,0.014184896,0.386665255,0.383785099,0.393880606,0.602422059,0.606608391,0.591934502,1.017178297,0.540080965,0.009904768,0.067580171,0.320358068,0.062076043,1.015921831,0.524704993,0.006787975,0.070958585,0.333562791,0.063985668,1.020325899,0.578434408,0.017679229,0.059153128,0.287420511,0.057312727,0.412283957,0.436233103,0.352338225,0.48497355,0.450315028,0.571725249,0.102742493,0.113451853,0.075936534,0.392418712,0.375847667,0.433896691,0.004594087,0.006429489,0,0.119545549,0.125625104,0.104328185,0.433456063,0.442416787,0.411027044,0.109950647,0.116153926,0.09442357,0.004308846,0.003094393,0.00734867,0.583753645,0.570860207,0.61602658,0.411937505,0.426045418,0.376624763,1.059965014,0.370218545,0.004334187,0.112782545,0.408934325,0.103730448,1.066473007,0.352421165,0.006028741,0.117794923,0.414841056,0.108914077,1.043675542,0.415739059,0,0.099962279,0.393826455,0.090472147
Jalaun,Uttar Pradesh,9,165,0.210931197,0.110414602,0.254705757,0.677130044,0.722808301,0.657237351,0.081395499,0.106584489,0.070425801,0.030543257,0.060192615,0.017631091,0.34248817,0.329663783,0.347923458,0.656472445,0.670336246,0.650596619,0.001039394,0,0.001479913,0.258396894,0.296813399,0.2350602,0.741603136,0.703186572,0.764939785,0,0,0,0.348804265,0.332860976,0.355368257,0.650078297,0.667138994,0.643054187,0.001117463,0,0.001577533,0.721570849,0.780095935,0.696766615,0.175934717,0.137243986,0.19233273,0.102494411,0.082660101,0.110900655,0.59380585,0.563964546,0.6064533,0.042081613,0.034103755,0.045462813,0.078953274,0.072820373,0.081552535,0.242833033,0.261307478,0.235003144,0.052745856,0.071018063,0.045001678,0.012203662,0,0.017375855,0.370014817,0.382170588,0.364862919,0.61778152,0.617829442,0.617761254,1.010419607,0.587682426,0.041647661,0.078139096,0.240328893,0.052201934,1.00321424,0.562157631,0.033994488,0.072587058,0.260470271,0.070790522,1.013473511,0.598390877,0.044858415,0.080468342,0.231878921,0.044403408,0.447794706,0.334378123,0.499259233,0.494600058,0.570401728,0.460203886,0.05760524,0.095220156,0.040536892,0.31978488,0.310672402,0.323919833,0.030392885,0.037855346,0.02700668,0.129177704,0.172913685,0.109331816,0.47653392,0.440703213,0.492792636,0.082210355,0.064605772,0.090198703,0.007101873,0,0.010324458,0.559526801,0.538725436,0.568965673,0.433371335,0.461274534,0.420709848,1.038099766,0.308048308,0.029277422,0.124436699,0.459044427,0.079193115,1.026750445,0.3025783,0.036869083,0.168408677,0.429221362,0.062922567,1.043249726,0.310491174,0.025887072,0.104799278,0.472363055,0.086459361
Jhansi,Uttar Pradesh,9,166,0.233728647,0.163970515,0.29141435,0.604631066,0.597329915,0.610668659,0.124844916,0.169562727,0.087866038,0.036795363,0.069136843,0.010050945,0.410085112,0.451578081,0.375948906,0.589914858,0.548421919,0.624051094,0,0,0,0.184792802,0.244733453,0.147065207,0.815207183,0.755266547,0.852934778,0,0,0,0.420613199,0.459795028,0.387980282,0.579386771,0.540205002,0.612019718,0,0,0,0.668161869,0.659693658,0.675128698,0.234849006,0.26523608,0.209849596,0.096989095,0.07507024,0.115021713,0.590906084,0.550026476,0.624484301,0.042963877,0.03065272,0.053076178,0.066865325,0.060436819,0.072145656,0.264018387,0.31427753,0.222735897,0.055525593,0.075803339,0.03886959,0.010238448,0.012872222,0.008075085,0.346411645,0.339190006,0.35234347,0.643349886,0.647937775,0.639581442,1.020279288,0.579161108,0.042109918,0.065536298,0.258770704,0.054421954,1.031196833,0.533386528,0.029725382,0.05860842,0.304769695,0.073510058,1.01131165,0.617499352,0.052482516,0.071338698,0.220244572,0.03843483,0.298690736,0.28805086,0.311504245,0.622411728,0.627203882,0.616640508,0.078897551,0.084745251,0.071855225,0.369160324,0.360936165,0.379125744,0.025713626,0.024545619,0.027128927,0.14567703,0.117133602,0.180263758,0.415697128,0.450730085,0.373246908,0.089192122,0.113092154,0.06023192,0.020211749,0.03274456,0.005025459,0.513920248,0.486445487,0.547212064,0.465867996,0.480809957,0.447762519,1.045440197,0.353114724,0.02459598,0.139345154,0.397628784,0.085315377,1.066437602,0.338450342,0.02301646,0.10983634,0.422650218,0.106046669,1.019997239,0.371692926,0.02659706,0.176729649,0.365929335,0.059051063
Lalitpur,Uttar Pradesh,9,167,0.266688615,0.22635816,0.277691633,0.651439548,0.609200537,0.662963212,0.06325642,0.11155697,0.050078992,0.018615432,0.052884329,0.009266136,0.479069769,0.54703325,0.460482478,0.519712806,0.447297901,0.539517522,0.001217425,0.005668876,0,0.307741314,0.623175085,0.251028091,0.692258656,0.376824915,0.748971939,0,0,0,0.488844723,0.544000745,0.473440439,0.509868383,0.450104594,0.526559532,0.001286884,0.005894649,0,0.694813669,0.683979452,0.697776735,0.232506052,0.260150164,0.224945679,0.072680257,0.055870347,0.077277586,0.58349359,0.650546312,0.565155387,0.035830896,0.03838779,0.035131615,0.058969665,0.043691829,0.063147992,0.280591607,0.237990171,0.292242646,0.065639414,0.073295929,0.063545443,0.008809643,0,0.011218987,0.341378987,0.239668146,0.369195819,0.649811387,0.760331869,0.619585216,1.024525166,0.569525898,0.034973174,0.057558045,0.273874789,0.064068131,1.043912053,0.623181164,0.036773011,0.041853938,0.227979138,0.070212744,1.019223094,0.554496229,0.034469012,0.061956987,0.286730796,0.062346943,0.452033073,0.391848117,0.466780692,0.455926239,0.565036058,0.429190129,0.092040688,0.043115828,0.104029171,0.445042372,0.261051357,0.490127295,0.038756531,0,0.048253383,0.029988056,0.032744806,0.029312545,0.411942482,0.586502731,0.36916846,0.139041513,0.336004883,0.090777874,0.031424362,0.086231656,0.017994454,0.426950395,0.511549234,0.406220406,0.541625261,0.402219117,0.57578516,1.064770937,0.417970061,0.036398936,0.028163856,0.386883676,0.130583495,1.216303825,0.214626759,0,0.026921568,0.482200831,0.27625078,1.027639508,0.476944774,0.046955556,0.028524151,0.35923925,0.088336304
Hamirpur,Uttar Pradesh,9,168,0.276622981,0.134113953,0.317438304,0.648921907,0.725311041,0.627043664,0.050339453,0.113799334,0.03216422,0.024115674,0.026775679,0.023353836,0.437302053,0.52515322,0.412052304,0.562697947,0.47484678,0.587947667,0,0,0,0.251676798,0.439678103,0.220094353,0.748323202,0.560321927,0.779905617,0,0,0,0.447961539,0.528252125,0.424274296,0.552038491,0.471747875,0.575725675,0,0,0,0.703003228,0.700153828,0.703823447,0.150697514,0.139897063,0.153806478,0.146299258,0.159949094,0.14237009,0.658309639,0.553160727,0.688531041,0.025992312,0.009275609,0.030796943,0.066394605,0.117596723,0.051678348,0.215958297,0.276062936,0.198683321,0.039737254,0.050331905,0.036692191,0.015112852,0.036605768,0.008935465,0.381608695,0.405656129,0.374697089,0.603278458,0.557738066,0.616367459,1.006392121,0.654128373,0.025827222,0.065972894,0.21458663,0.039484862,1.006427884,0.549627781,0.009216367,0.116845652,0.274299771,0.050010443,1.006381869,0.684164762,0.030601647,0.051350635,0.197423398,0.036459509,0.368176132,0.423140258,0.34904781,0.529107928,0.483901471,0.544840455,0.102715924,0.092958279,0.106111735,0.498955697,0.471148312,0.508633077,0.02134973,0,0.028779751,0.104303323,0.171467558,0.080929168,0.285089225,0.205133244,0.312915087,0.097630136,0.152250871,0.078621313,0.043558322,0.054471601,0.03976034,0.511686385,0.623399198,0.472808719,0.444755286,0.32212922,0.48743096,1.007328153,0.495325863,0.021194413,0.103544533,0.283015251,0.096919894,1,0.471148312,0,0.171467558,0.205133244,0.152250871,1.009878397,0.503657758,0.028498234,0.080137536,0.309854209,0.077852257
Mahoba,Uttar Pradesh,9,169,0.336407483,0.268084645,0.357706845,0.573578835,0.563676536,0.576665819,0.07061404,0.133337796,0.051060181,0.019399649,0.034901038,0.014567156,0.309588522,0.29586494,0.313845664,0.690411448,0.70413506,0.686154306,0,0,0,0,0,0,1,1,1,0,0,0,0.325469643,0.310921133,0.329984963,0.674530387,0.689078867,0.670015037,0,0,0,0.673347533,0.707591176,0.662724972,0.140164047,0.182943508,0.12689361,0.186488405,0.109465331,0.210381418,0.668191314,0.645074069,0.675362468,0.080915168,0.07179942,0.083742924,0.048359409,0.052437022,0.047094509,0.187829614,0.214635476,0.179514274,0.027122539,0.039283913,0.02335001,0.013673575,0.01267006,0.013984871,0.332486242,0.359540999,0.324093699,0.653840184,0.627788901,0.661921442,1.012418032,0.659995496,0.079922684,0.047766246,0.185525745,0.026789861,1.023229957,0.630429208,0.070169389,0.051246569,0.209762692,0.038392067,1.009064198,0.669295847,0.082990684,0.046671469,0.177901745,0.023140261,0.320347428,0.238610119,0.352839261,0.543333054,0.599208236,0.52112186,0.136319488,0.162181675,0.126038879,0.541475832,0.417150646,0.590896964,0.086421512,0,0.120775379,0.083394498,0.162181675,0.052075397,0.298132509,0.420667678,0.249422908,0.031330302,0.053035524,0.022702148,0.03662847,0.062752508,0.026243767,0.478703409,0.495362461,0.472081184,0.484668136,0.441885024,0.501675069,1.040754676,0.520272315,0.083037354,0.080128871,0.286458015,0.030103447,1.053035498,0.396141112,0,0.1540135,0.399480999,0.05036442,1.035872817,0.570433915,0.116592862,0.050271999,0.240785256,0.021915961
Banda,Uttar Pradesh,9,170,0.222014993,0.129870877,0.243105531,0.690669596,0.692904413,0.690158069,0.068042435,0.107932165,0.05891221,0.019272994,0.069292538,0.007824193,0.408688664,0.424738318,0.405056357,0.591311336,0.575261652,0.594943643,0,0,0,0.142520949,0.19317919,0.134662613,0.857479036,0.80682081,0.865337372,0,0,0,0.426269978,0.435671628,0.424095094,0.573729992,0.564328372,0.575904906,0,0,0,0.73216027,0.699168026,0.739626944,0.112336114,0.127740532,0.108849831,0.155503631,0.173091441,0.151523203,0.585330963,0.568253577,0.589207709,0.025755558,0.024006281,0.026152665,0.073034778,0.051104985,0.078013085,0.293892831,0.33634764,0.284255087,0.035548698,0.020287532,0.039013151,0.00738037,0.007648186,0.007319572,0.424685389,0.385248542,0.433637977,0.567934275,0.607103288,0.559042454,1.013562799,0.577498496,0.025410915,0.072057478,0.289960146,0.035073008,1,0.568253577,0.024006281,0.051104985,0.33634764,0.020287532,1.016641736,0.579562783,0.025724564,0.076736063,0.279602021,0.038374532,0.375173211,0.230211005,0.433850199,0.472578853,0.521804273,0.452653676,0.152247936,0.247984737,0.113496132,0.320840597,0.202314585,0.368816912,0.022741165,0.053212546,0.01040713,0.132547602,0.079460233,0.154036015,0.483245224,0.61531198,0.429787964,0.091376126,0.182373464,0.054542728,0.020714723,0.025316123,0.018852193,0.517546237,0.474683881,0.534895778,0.461739063,0.5,0.446251988,1.050750732,0.305344164,0.021642778,0.126145616,0.45990473,0.086962707,1.132672787,0.178616971,0.046979629,0.070152856,0.543238938,0.161011606,1.017590761,0.362441301,0.010227226,0.151373237,0.422358364,0.053599864
Chitrakoot,Uttar Pradesh,9,171,0.31348455,0.148440212,0.344287306,0.609869599,0.698397398,0.593347371,0.051585611,0.090162471,0.044385884,0.02506024,0.062999904,0.017979434,0.283968687,0.283397645,0.284072727,0.716031313,0.716602325,0.715927303,0,0,0,0.117054231,0.200304821,0.101569116,0.882945776,0.799695194,0.898430884,0,0,0,0.296690136,0.289851367,0.297934055,0.703309894,0.710148633,0.702065945,0,0,0,0.620970547,0.624307036,0.620362699,0.16079013,0.228441626,0.148465171,0.218239337,0.147251338,0.231172144,0.634792924,0.641810298,0.633514464,0.053845461,0.074632511,0.05005841,0.073395707,0.062824294,0.075321637,0.214174002,0.192760766,0.218075126,0.039385773,0.042408284,0.038835123,0.005286047,0.01167194,0.004122645,0.414853841,0.335193753,0.429366559,0.579860091,0.653134286,0.566510797,1.015593886,0.625046015,0.053018693,0.072268754,0.21088548,0.038781025,1.014436126,0.632676899,0.073570438,0.061930262,0.190017641,0.041804783,1.015804768,0.623657703,0.049279559,0.07414972,0.214682132,0.038230892,0.372173429,0.324757516,0.383516431,0.469214529,0.555164516,0.448653281,0.158612058,0.12007799,0.167830303,0.449443787,0.324757516,0.479016334,0.038926486,0,0.048158899,0.14548704,0.157504246,0.14263685,0.316490799,0.356334358,0.3070409,0.08552561,0.200779915,0.058190085,0.020112006,0.039376061,0.015543039,0.615150392,0.716568351,0.59109652,0.3647376,0.244055584,0.393360466,1.035873771,0.433878928,0.037578408,0.140448615,0.30553028,0.082563736,1.03937602,0.312454313,0,0.151537314,0.34283489,0.193173513,1.03504312,0.462798446,0.046528399,0.137807637,0.296645522,0.056219961
Fatehpur,Uttar Pradesh,9,172,0.295776039,0.253131598,0.300516218,0.596829295,0.567667842,0.600070775,0.076364264,0.116189539,0.071937442,0.031030424,0.06301105,0.027475581,0.560673058,0.591684222,0.557266176,0.439326942,0.408315778,0.442733824,0,0,0,0.43652752,0.727918327,0.414595604,0.563472509,0.272081673,0.585404396,0,0,0,0.56657958,0.587163627,0.564283252,0.43342039,0.412836403,0.435716748,0,0,0,0.703691244,0.775059104,0.695850849,0.190133274,0.181280315,0.191105843,0.106175512,0.043660596,0.113043331,0.551376998,0.414515227,0.566092134,0.028572161,0,0.031644192,0.090412617,0.114368789,0.087836891,0.278575093,0.3373923,0.272251189,0.060805414,0.149227142,0.051298458,0.015517829,0.025354968,0.014460156,0.412468344,0.346935153,0.419514358,0.572013795,0.627709866,0.566025496,1.00974226,0.546057165,0.028296489,0.089540295,0.27588734,0.060218748,1.015503407,0.408186942,0,0.112622753,0.332241416,0.146948934,1.009122849,0.560974419,0.031358115,0.087042816,0.269789934,0.0508347,0.315174848,0.279850721,0.31915766,0.574251592,0.665778279,0.563931942,0.110573538,0.054371014,0.116910391,0.387219429,0.385927528,0.387365103,0.014372801,0,0.01599334,0.114009529,0.220149279,0.102042243,0.446746498,0.339552194,0.458832681,0.046364669,0.054371014,0.045461953,0.012191467,0.054371014,0.007435709,0.63947916,0.834221721,0.617521882,0.348329365,0.11140725,0.375042409,1.008712888,0.383874774,0.014248654,0.113024756,0.442887664,0.045964189,1,0.385927528,0,0.220149279,0.339552194,0.054371014,1.009695292,0.383645535,0.015839769,0.101062417,0.454426885,0.045025419
Pratapgarh,Uttar Pradesh,9,173,0.272396952,0.083616927,0.285131723,0.607681632,0.642115355,0.605358839,0.100724556,0.210252345,0.093336008,0.019196833,0.064015359,0.016173458,0.433852911,0.404203027,0.435820758,0.566147089,0.595797002,0.564179242,0,0,0,0.28205803,0,0.286340773,0.71794194,1,0.713659227,0,0,0,0.440605193,0.408382624,0.442821056,0.559394777,0.591617346,0.557178974,0,0,0,0.648696125,0.764957666,0.640979946,0.169142321,0.139819324,0.171088472,0.18216154,0.095223032,0.187931612,0.595032513,0.541022003,0.598635614,0.030065086,0.020469099,0.030705238,0.064050198,0.080922239,0.062924653,0.263703853,0.304311872,0.260994852,0.066693716,0.079912201,0.06581191,0.017429225,0,0.018591939,0.338002622,0.296097368,0.34079814,0.644568145,0.703902602,0.64060992,1.019545317,0.583625376,0.02948872,0.062822312,0.258648485,0.065415159,1.026637435,0.526984513,0.019938001,0.078822605,0.296416104,0.077838778,1.019072294,0.587431967,0.030130578,0.061746996,0.256110251,0.064580217,0.359698862,0.272727281,0.368422925,0.450234145,0.636363626,0.431563616,0.190066993,0.090909094,0.200013474,0.464462817,0.363636374,0.474760503,0.029451286,0.090909094,0.023174427,0.112791479,0,0.124311194,0.36328429,0.545454562,0.34467873,0.080319442,0.272727281,0.060668286,0.051769581,0.090909094,0.047772154,0.487532347,0.363636374,0.500186205,0.460698068,0.545454562,0.452041656,1.0503093,0.442215264,0.028040584,0.107388824,0.345883161,0.076472178,1.272727251,0.285714298,0.071428575,0,0.428571463,0.214285731,1.027593136,0.462012142,0.022552144,0.120973162,0.33542335,0.059039209
Kaushambi,Uttar Pradesh,9,174,0.331152111,0.362213194,0.327491075,0.581302464,0.561014414,0.583693743,0.066145375,0.064182661,0.066376716,0.021400027,0.01258975,0.022438463,0.383427739,0.333461165,0.389342606,0.616572261,0.666538835,0.610657394,0,0,0,0.238962382,0.222469538,0.242571861,0.761037588,0.777530491,0.757428169,0,0,0,0.393905312,0.347843021,0.399051845,0.606094658,0.652156949,0.600948155,0,0,0,0.608056843,0.556249917,0.614189565,0.141993463,0.162178978,0.139603987,0.249949694,0.28157112,0.246206462,0.615033627,0.647866309,0.611086786,0.03992141,0.072391599,0.036018196,0.068804465,0.034281872,0.072954401,0.241783962,0.245460227,0.241342038,0.055117004,0.01258975,0.060229167,0.010030091,0,0.0112358,0.379181713,0.406788349,0.375863135,0.610788226,0.593211651,0.612901092,1.02066052,0.602583945,0.039113309,0.067411706,0.23688969,0.054001309,1.012589812,0.639811218,0.071491532,0.033855636,0.24240835,0.012433218,1.021630645,0.598148465,0.035255596,0.071409762,0.236232176,0.058953956,0.327063739,0.224430844,0.35117507,0.401046872,0.530435383,0.370649904,0.271889359,0.245133743,0.278175026,0.428461611,0.489854872,0.413900405,0.006671253,0,0.008253536,0.102714099,0,0.127075776,0.401627034,0.387578249,0.404959112,0.112661161,0.204140574,0.090964116,0.013060922,0,0.016158704,0.540139675,0.428571433,0.566601396,0.446799397,0.571428597,0.417239934,1.05213511,0.407230586,0.006340681,0.097624436,0.381725729,0.107078604,1.081573725,0.45290938,0,0,0.358346581,0.188744023,1.045152903,0.396019012,0.007896965,0.121585824,0.387463987,0.087034263
Allahabad,Uttar Pradesh,9,175,0.200774565,0.129869416,0.228619546,0.610653102,0.593425274,0.617418528,0.141164362,0.207044065,0.115292914,0.047407996,0.069661215,0.038668994,0.410993397,0.43736285,0.400736094,0.589006603,0.56263715,0.599263906,0,0,0,0.175719514,0.240604401,0.164626136,0.8242805,0.759395599,0.835373878,0,0,0,0.42431125,0.44301644,0.416758507,0.57568872,0.55698359,0.583241522,0,0,0,0.63141638,0.656084001,0.621821046,0.184402704,0.230773792,0.166365057,0.184180886,0.113142192,0.211813882,0.577722788,0.570277095,0.580644667,0.023497276,0.021521766,0.024272509,0.06738466,0.04080271,0.077815987,0.278392881,0.295721024,0.271592945,0.072125562,0.083753295,0.06756258,0.018088935,0.029506637,0.013608381,0.365913093,0.273617655,0.402131796,0.61599797,0.696875691,0.584259808,1.019123197,0.566882193,0.023056364,0.06612023,0.273169011,0.070772171,1.012075901,0.563472629,0.021264972,0.040315859,0.292192549,0.082753964,1.021888733,0.568207324,0.023752594,0.076149181,0.265775442,0.066115394,0.397758812,0.484522223,0.349263132,0.36535719,0.386420161,0.35358423,0.236883998,0.129057601,0.297152668,0.398075908,0.370755434,0.4131594,0.032664739,0.052759979,0.021570241,0.1322577,0.0761647,0.163226411,0.35663873,0.375524491,0.346212,0.116777919,0.157407463,0.094346516,0.026705872,0.016239578,0.032484271,0.460855842,0.440836668,0.471908361,0.512438297,0.542923748,0.495607376,1.036414981,0.384089291,0.031517047,0.127610758,0.344108045,0.11267487,1.032612085,0.359046191,0.051093705,0.073759258,0.363664627,0.152436197,1.038514614,0.397836864,0.020770282,0.157172948,0.333372295,0.090847559
