DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,l_bmi_all_fe,l_bmi_ur_fe,l_bmi_ru_fe,h_bmi_all_fe,h_bmi_ur_fe,h_bmi_ru_fe,hh_bmi_all_fe,hh_bmi_ur_fe,hh_bmi_ru_fe,hhh_bmi_all_fe,hhh_bmi_ur_fe,hhh_bmi_ru_fe,h_hemoglobin_all_fe,h_hemoglobin_ur_fe,h_hemoglobin_ru_fe,l_hemoglobin_all_fe,l_hemoglobin_ur_fe,l_hemoglobin_ru_fe,hh_hemoglobin_all_fe,hh_hemoglobin_ur_fe,hh_hemoglobin_ru_fe,h_hemoglobin_all_pw,h_hemoglobin_ur_pw,h_hemoglobin_ru_pw,l_hemoglobin_all_pw,l_hemoglobin_ur_pw,l_hemoglobin_ru_pw,hh_hemoglobin_all_pw,hh_hemoglobin_ur_pw,hh_hemoglobin_ru_pw,h_hemoglobin_all_npw,h_hemoglobin_ur_npw,h_hemoglobin_ru_npw,l_hemoglobin_all_npw,l_hemoglobin_ur_npw,l_hemoglobin_ru_npw,hh_hemoglobin_all_npw,hh_hemoglobin_ur_npw,hh_hemoglobin_ru_npw,h_glucose_all_fe,h_glucose_ur_fe,h_glucose_ru_fe,hh_glucose_all_fe,hh_glucose_ur_fe,hh_glucose_ru_fe,l_glucose_all_fe,l_glucose_ur_fe,l_glucose_ru_fe,h_bp_all_fe,h_bp_ur_fe,h_bp_ru_fe,l_bp_all_fe,l_bp_ur_fe,l_bp_ru_fe,hh_bp_all_fe,hh_bp_ur_fe,hh_bp_ru_fe,hhh_bp_all_fe,hhh_bp_ur_fe,hhh_bp_ru_fe,hhhh_bp_all_fe,hhhh_bp_ur_fe,hhhh_bp_ru_fe,hh_cbp_all_fe,hh_cbp_ur_fe,hh_cbp_ru_fe,h_cbp_all_fe,h_cbp_ur_fe,h_cbp_ru_fe,l_cbp_all_fe,l_cbp_ur_fe,l_cbp_ru_fe,sum_bp_all_fe,ad_hbp_all_fe,ad_lowbp_all_fe,ad_elevatedbp_all_fe,ad_highbp_all_fe,adseverebp_all_fe,sum_bp_ur_fe,ad_hbp_ur_fe,ad_lowbp_ur_fe,ad_elevatedbp_ur_fe,ad_highbp_ur_fe,adseverebp_ur_fe,sum_bp_ru_fe,ad_hbp_ru_fe,ad_lowbp_ru_fe,ad_elevatedbp_ru_fe,ad_highbp_ru_fe,adseverebp_ru_fe,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma,sum_bp_all_ma,ad_hbp_all_ma,ad_lowbp_all_ma,ad_elevatedbp_all_ma,ad_highbp_all_ma,adseverebp_all_ma,sum_bp_ur_ma,ad_hbp_ur_ma,ad_lowbp_ur_ma,ad_elevatedbp_ur_ma,ad_highbp_ur_ma,adseverebp_ur_ma,sum_bp_ru_ma,ad_hbp_ru_ma,ad_lowbp_ru_ma,ad_elevatedbp_ru_ma,ad_highbp_ru_ma,adseverebp_ru_ma
,,,,0.142321579,0.1103778,0.163513064,0.54091239,0.490478814,0.555208921,0.089469305,0.158978351,0.074154146,0.033271925,0.0611919,0.02285758,0.360242225,0.381666616,0.347923458,0.470693819,0.440376059,0.473611891,0,0,0,0.156967029,0.085172322,0.145020694,0.681990072,0.591931403,0.684769273,0,0,0,0.370502979,0.388925731,0.357590944,0.458684176,0.434128717,0.463350326,0,0,0,0.63887544,0.636514276,0.632155657,0.19288303,0.182370775,0.193508327,0.062311252,0.054583354,0.062152363,0.482146353,0.475515977,0.479483217,0.021160732,0.017478853,0.020412488,0.043409555,0.03218822,0.045650735,0.262439713,0.265856177,0.258012503,0.075325267,0.07896211,0.070404761,0.012067744,0.010205327,0.011273826,0.293882601,0.254459635,0.302822292,0.569135472,0.59231475,0.561977327,1.021904797,0.462374829,0.020531418,0.042113144,0.255797826,0.073554985,1.020397067,0.458225593,0.016832451,0.031201563,0.258624032,0.077853031,1.020041227,0.460463196,0.019688141,0.044235401,0.251314729,0.068360642,0.348949477,0.324325055,0.348156765,0.453335852,0.432340533,0.447193965,0.060315309,0.044045013,0.054036446,0.292483986,0.236278385,0.296559394,0.008402491,0,0.008033304,0.08870477,0.061374262,0.087607492,0.361216843,0.366839588,0.346563652,0.116207749,0.120502554,0.103837777,0.016731274,0,0.015702187,0.493501112,0.449608117,0.496425793,0.358007468,0.337362349,0.348464415,1.047823757,0.268797703,0.007769956,0.083173799,0.342613667,0.110579981,1.037011981,0.214869976,0,0.056768078,0.343770027,0.115224436,1.040039719,0.277225971,0.007449339,0.082386162,0.32985963,0.099799041
,,,,0.217591182,0.151406422,0.241174728,0.580508381,0.537229657,0.591709912,0.129951492,0.196212769,0.105130106,0.049001344,0.091447294,0.037630033,0.434519172,0.461634189,0.42723918,0.56513679,0.537101567,0.571315289,0.001123987,0,0.001128537,0.232543059,0.244428977,0.215385959,0.767330706,0.755266547,0.784338534,0,0,0,0.44310537,0.470773458,0.436936885,0.556067258,0.527931035,0.560321033,0.001136968,0,0.001170276,0.668125212,0.678417742,0.665702105,0.232176624,0.227639332,0.233142287,0.086152535,0.081465766,0.086631998,0.543032587,0.532448769,0.547049701,0.032145068,0.029511342,0.031644192,0.05800099,0.045721095,0.060702678,0.298291311,0.306555837,0.297830582,0.094795913,0.105448194,0.089514911,0.017061794,0.016643748,0.016679963,0.344272688,0.312737405,0.355285138,0.635881216,0.671402752,0.625204027,1.030046046,0.527631789,0.031170509,0.056231866,0.289468899,0.092103247,1.032337785,0.513817549,0.028239321,0.043910753,0.295745671,0.10203705,1.029679537,0.530511498,0.03113348,0.058795333,0.289967924,0.087359704,0.393819794,0.391632557,0.390979469,0.506291092,0.503557861,0.511500955,0.088758875,0.088280976,0.087864429,0.360584915,0.331080645,0.365902781,0.01870657,0,0.019085027,0.111296967,0.097504221,0.115495294,0.409222767,0.43387416,0.399693698,0.16006925,0.181818187,0.15004538,0.027418265,0.02291606,0.026661208,0.546565682,0.527992129,0.556746423,0.423605189,0.432304621,0.417964548,1.064712942,0.338473395,0.017421372,0.103413679,0.383897275,0.150236786,1.068532228,0.306725025,0,0.091526106,0.407036632,0.169694439,1.062675118,0.343064755,0.017915808,0.107898764,0.375901818,0.141436771
,,,,0.279484369,0.201240547,0.303481013,0.618718669,0.596586108,0.631238043,0.185522571,0.232955896,0.161414459,0.081643366,0.127173737,0.061117798,0.528031573,0.557508558,0.523273706,0.638745755,0.618160576,0.650596619,0.002579563,0.00200351,0.002688804,0.317573727,0.407713115,0.314199656,0.843032986,0.914073169,0.854979336,0,0,0,0.53756027,0.564161927,0.531868219,0.627879158,0.610842914,0.641286492,0.002613997,0.002007275,0.002685168,0.703455597,0.72524345,0.701145172,0.271561347,0.274482057,0.272864968,0.115326675,0.112635311,0.118188858,0.584155515,0.579940319,0.589391947,0.042805844,0.045559989,0.043976117,0.075418892,0.06880926,0.07973209,0.343985893,0.353677631,0.346447229,0.122323647,0.133580774,0.119131334,0.023624578,0.025687204,0.024564819,0.409256704,0.383831546,0.417752087,0.691397041,0.729217857,0.684028029,1.04110086,0.571479902,0.041693725,0.072390817,0.330837966,0.11773373,1.045061648,0.565497279,0.044059487,0.066010863,0.341224149,0.128147438,1.040552616,0.576263726,0.042783465,0.07692308,0.334483534,0.113854773,0.435150936,0.460093305,0.436485678,0.574265629,0.600967735,0.578728706,0.125136746,0.135146864,0.125760295,0.417524598,0.405966848,0.433974579,0.030110914,0.0290624,0.032086319,0.132354945,0.134290278,0.140094899,0.464935862,0.510038316,0.460645691,0.207146168,0.2580235,0.204328455,0.040112905,0.050808318,0.041282671,0.60239327,0.618342578,0.6145688,0.482279666,0.528338253,0.478014812,1.087126642,0.396428101,0.028374941,0.12472984,0.429946288,0.19212437,1.108959913,0.38356632,0.026497455,0.125447497,0.469252825,0.235827774,1.086987376,0.412517265,0.030440697,0.1325325,0.427038417,0.188698225
