ST_NM,ST_CEN_CD,p_cancer_all_fe,p_cancer_ur_fe,p_cancer_ru_fe,t_cancer_all_fe,t_cancer_ur_fe,t_cancer_ru_fe,dk_cancer_all_fe,dk_cancer_ur_fe,dk_cancer_ru_fe,p_asthma_all_fe,p_asthma_ur_fe,p_asthma_ru_fe,t_asthma_all_fe,t_asthma_ur_fe,t_asthma_ru_fe,dk_asthma_all_fe,dk_asthma_ur_fe,dk_asthma_ru_fe,p_diabetes_all_fe,p_diabetes_ur_fe,p_diabetes_ru_fe,t_diabetes_all_fe,t_diabetes_ur_fe,t_diabetes_ru_fe,dk_diabetes_all_fe,dk_diabetes_ur_fe,dk_diabetes_ru_fe,p_thyroid_all_fe,p_thyroid_ur_fe,p_thyroid_ru_fe,t_thyroid_all_fe,t_thyroid_ur_fe,t_thyroid_ru_fe,dk_thyroid,dk_thyroid_ur,dk_thyroid_ru,p_heart_all_fe,p_heart_ur_fe,p_heart_ru_fe,t_heart_all_fe,t_heart_ur_fe,t_heart_ru_fe,dk_heart_all_fe,dk_heart_ur_fe,dk_heart_ru_fe,state,p_cancer_all_ma,p_cancer_ur_ma,p_cancer_ru_ma,t_cancer_all_ma,t_cancer_ur_ma,t_cancer_ru_ma,dk_cancer_all_ma,dk_cancer_ur_ma,dk_cancer_ru_ma,p_asthma_all_ma,p_asthma_ur_ma,p_asthma_ru_ma,t_asthma_all_ma,t_asthma_ur_ma,t_asthma_ru_ma,dk_asthma_all_ma,dk_asthma_ur_ma,dk_asthma_ru_ma,p_diabetes_all_ma,p_diabetes_ur_ma,p_diabetes_ru_ma,t_diabetes_all_ma,t_diabetes_ur_ma,t_diabetes_ru_ma,dk_diabetes_all_ma,dk_diabetes_ur_ma,dk_diabetes_ru_ma,p_thyroid_all_ma,p_thyroid_ur_ma,p_thyroid_ru_ma,t_thyroid_all_ma,t_thyroid_ur_ma,t_thyroid_ru_ma,dk_thyroid,dk_thyroid_ur,dk_thyroid_ru,p_heart_all_ma,p_heart_ur_ma,p_heart_ru_ma,t_heart_all_ma,t_heart_ur_ma,t_heart_ru_ma,dk_heart_all_ma,dk_heart_ur_ma,dk_heart_ru_ma
Sikkim,11,0.000298527,0,0.000443601,1,NA,1,0.000622037,0,0.000924045,0.010257396,0.011707736,0.009552971,0.635299504,0.674813867,0.611778557,0.00025225,0,0.000374721,0.015806872,0.017422354,0.015022262,0.875021219,0.927379787,0.845528781,0.000232839,0,0.000345886,0.010400645,0.0223525,0.004595677,0.938140094,1,0.792006493,0.00025225,0,0.000374721,0.006403421,0.005375355,0.006902748,0.360776842,0.198431805,0.566957891,0.00025225,0,0.000374721,11,0,0,0,NA,NA,NA,0,0,0,0.009913422,0.004814055,0.013778755,0.265435845,0,0.335731953,0,0,0,0.015536686,0.014687527,0.016180351,0.925789952,1,0.874728382,0,0,0,0.002439033,0.003770374,0.001429874,1,1,1,0,0,0,0.003605941,0,0.006339252,0.12018802,0,0.290602982,0,0,0
Arunachal Pradesh,12,0.001247101,0.001438185,0.001177589,0.809807301,1,0.725308239,0.019497782,0.01251521,0.022013459,0.012146281,0.011318395,0.012448435,0.623179734,0.652474344,0.613458633,0.01604628,0.006660733,0.019427698,0.012488463,0.015400664,0.011415941,0.68886888,0.774231315,0.646457791,0.050695416,0.035277504,0.056250174,0.009466411,0.010673047,0.009027262,0.808946371,0.848462403,0.791942775,0.014689722,0.007340675,0.017337432,0.014279963,0.015134915,0.013971291,0.542272329,0.512951672,0.553287566,0.017846756,0.016321009,0.01839645,12,0.002514204,0.005991457,0.001225099,0.516811848,0.250308007,1,0.038023178,0.023733642,0.043214954,0.00276632,0.008681653,0.000579143,0.491201878,0.412193596,0.9291206,0.022776319,0.010170283,0.027356433,0.012031085,0.024823766,0.007412578,0.67392993,0.891635895,0.410716087,0.04199791,0.046453495,0.040379073,0.003596903,0.006409077,0.002541705,0.706482947,1,0.428770542,0.031130269,0.008059626,0.039512459,0.008970314,0.009034492,0.008946944,0.659414411,0.641937852,0.671105027,0.030568788,0.028968692,0.031150147
Nagaland,13,0.001092947,0.001978471,0.000521075,0.847445965,0.785230637,1,0.045369279,0.04229831,0.047342066,0.013340899,0.014828308,0.012376381,0.520659328,0.621188879,0.442555696,0.050054394,0.044621408,0.053544533,0.009830557,0.013968369,0.007219822,0.661265731,0.646671951,0.679080367,0.165541708,0.174663097,0.15968214,0.010554551,0.014924495,0.007734776,0.690984488,0.765047789,0.598771095,0.046061568,0.043473292,0.047724269,0.02649756,0.028108887,0.025455678,0.569115996,0.550389171,0.590459824,0.048039183,0.044259213,0.050467432,13,0,0,0,NA,NA,NA,0.019413184,0.010980629,0.024661409,0.02252505,0.027227184,0.019582627,0.5827142,0.608499825,0.560279548,0.019880788,0.016600363,0.021922449,0.014650207,0.02433503,0.008498062,0.755042851,0.808330059,0.658110261,0.092418283,0.080950931,0.099555291,0.000293342,0,0.00047745,0,NA,0,0.017663987,0.01257565,0.020830849,0.008770702,0.011560638,0.007007965,0.948503673,1,0.916930377,0.019903237,0.010789854,0.025575195
Manipur,14,0.001406572,0.002008696,0.000991548,0.838266909,0.722439468,1,0.027382288,0.021006955,0.031728465,0.016394269,0.016977791,0.015993631,0.650328755,0.757208407,0.572431087,0.022816539,0.01867866,0.025637403,0.01013831,0.013287553,0.007946617,0.865670621,0.861929297,0.870024443,0.070625767,0.059190724,0.078421235,0.045073915,0.047027938,0.043737892,0.717083514,0.782983184,0.66863662,0.017468935,0.015746661,0.01864304,0.031736307,0.034140382,0.030089838,0.314591348,0.360122263,0.279232174,0.0314111,0.028756607,0.033220712,14,0.000526804,0,0.000864538,0,NA,0,0.086925566,0.077398583,0.092930496,0.005189852,0.005006772,0.005311013,0.714677095,0.754799128,0.689645648,0.047792584,0.019169262,0.065834075,0.017758641,0.025701299,0.012646835,0.751975775,0.853103161,0.619709074,0.1087524,0.09732607,0.115954503,0.006356188,0.00789672,0.005345002,0.661381304,0.851462662,0.477050185,0.034045953,0.009916334,0.049255028,0.015050492,0.017623229,0.01337035,0.660219431,0.630239785,0.689970851,0.071080811,0.050799537,0.083864249
Mizoram,15,0.002704751,0.003497162,0.001478217,0.752215445,0.690452754,0.978384316,0.016841663,0.007898839,0.030370286,0.017774774,0.020844175,0.013086533,0.698755741,0.812287033,0.422550589,0.010930057,0.007147741,0.01665191,0.012388896,0.016807141,0.005572382,0.916659474,0.94893527,0.766468883,0.045311499,0.037861247,0.056582168,0.017850725,0.022048095,0.011480282,0.870681763,0.863653243,0.891168475,0.012108369,0.010829343,0.014043267,0.037031166,0.042041641,0.029373517,0.553166091,0.536913514,0.590934336,0.020088844,0.016108124,0.026110843,15,0.001611139,0.002595788,0,1,1,NA,0.014671811,0.016774608,0.011211627,0.014491447,0.019689506,0.006033663,0.655831218,0.628297031,0.802028954,0.011855999,0.016064338,0.004931113,0.010583815,0.016765613,0.000690376,0.536474288,0.54260391,0.298242033,0.040782277,0.050892375,0.024145951,0.007272332,0.007654297,0.006645496,0.798234522,1,0.416858047,0.003648045,0.004665323,0.001974099,0.028515534,0.040520463,0.008962075,0.885727525,0.969247997,0.468059033,0.020934645,0.024721136,0.014703915
Tripura,16,0.000996259,0.001474112,0.000790546,1,1,1,0.001243508,0,0.00177788,0.034552276,0.023462761,0.039322276,0.771031022,0.739766359,0.779055238,0.000661351,0,0.000945553,0.014423087,0.01790393,0.012919983,0.852605164,0.917921484,0.813519895,0.01041554,0.007050164,0.011861742,0.018153727,0.034085859,0.011297973,0.91725117,0.85351187,1,0.003220174,0.00227906,0.003624598,0.036462761,0.033841256,0.037590928,0.579038501,0.383817255,0.702394545,0.001011046,0,0.001445522,16,0,0,0,NA,NA,NA,0.00147529,0,0.002128633,0.003898911,0,0.005625571,1,NA,1,0,0,0,0.015662096,0.030357923,0.009140066,1,1,1,0.00147529,0,0.002128633,0.001212569,0.002084053,0.000826627,0.527523935,1,0,0,0,0,0.026790177,0.021382434,0.029185034,0.926630497,0.911190271,0.938557386,0,0,0
Meghalaya,17,0.003984355,0.000446371,0.005057752,0.74545598,1,0.738640368,0.005419894,0.003968821,0.005859303,0.03027449,0.021759951,0.03286574,0.660466552,0.856183648,0.621030629,0.008403906,0.004596509,0.009556848,0.011382549,0.00902036,0.012105462,0.689083099,0.846529186,0.653178811,0.013866357,0.005839983,0.016296873,0.023347931,0.017372783,0.025164429,0.845393598,1,0.812944949,0.006760207,0.003760435,0.007668586,0.038366206,0.013908914,0.04579106,0.643657625,0.453292161,0.677304924,0.006319897,0.004386225,0.006905445,17,0.001125287,0,0.001434298,0,NA,0,0.004184855,0.005692431,0.003770064,0.007783132,0.011769039,0.006681498,0.794713438,1,0.694773793,0.005326125,0.001799735,0.006296366,0.058700148,0.005285341,0.07346867,0.92296195,1,0.921429634,0.011454678,0.007654177,0.012500337,0.021050029,0.013545386,0.023119006,0.923428774,1,0.911060393,0.003378253,0.001799735,0.003812562,0.023032483,0,0.029380033,0.45630312,0,0.495484829,0.003089268,0.001799735,0.003444067
Assam,18,0.000951745,0.001373593,0.000877288,0.654982567,0.728344917,0.634708524,0.004107185,0.003191867,0.004268566,0.009514289,0.010678204,0.009308632,0.658054173,0.768643558,0.635638773,0.004921794,0.00309286,0.005244257,0.010514297,0.025714584,0.007841531,0.748882174,0.819349825,0.708249331,0.016168999,0.018426107,0.015771043,0.017028559,0.037286162,0.013457458,0.674569845,0.833176672,0.597102165,0.006545465,0.006678223,0.006522059,0.012756752,0.013996298,0.012537581,0.323433548,0.205940947,0.369626552,0.005421093,0.003006182,0.005846871,18,0.00074162,0,0.00089547,1,NA,1,0.003794565,0.005269591,0.00348802,0.006184953,0.009782991,0.005440049,0.435173213,0.644695699,0.357166171,0.003987156,0.007135994,0.003332753,0.014225961,0.026364682,0.011736215,0.621420443,0.679411709,0.594700336,0.010844442,0.02157077,0.008615259,0.002982694,0.003410878,0.00289401,0.619512856,0.764766216,0.584055722,0.002970416,0.005786414,0.002385185,0.008791558,0.013544855,0.007803238,0.605871975,0.765667439,0.527163744,0.005662828,0.005269591,0.005744552
West Bengal,19,0.001412962,0.002666919,0.000812439,0.935482979,1,0.83405906,0.00809513,0.003278272,0.010385485,0.03310439,0.031742528,0.033756562,0.707259297,0.704687595,0.708417356,0.007221455,0.002429864,0.009499796,0.017822225,0.02818081,0.01283539,0.877364278,0.923713565,0.82837373,0.031106021,0.022944825,0.034986567,0.032871149,0.050797574,0.024248488,0.914930105,0.94978261,0.879811287,0.017543785,0.009848641,0.021202726,0.019719182,0.017504947,0.020779364,0.316635489,0.196518824,0.407454759,0.008755174,0.004080671,0.010977841,19,0.001725021,0.005012477,0,1,1,NA,0.011565156,0,0.017527353,0.020559406,0.026659574,0.017412949,0.686258018,0.848729253,0.557954848,0.000342042,0,0.000518376,0.016792525,0.022684837,0.013737586,0.776533604,0.825858355,0.734305024,0.004672157,0.000946045,0.006593083,0.004539587,0.007453,0.003034408,0.759272635,1,0.453802586,0.001413264,0,0.002141845,0.019387949,0.018466905,0.019863581,0.747298479,0.669163704,0.813670993,0.001118576,0,0.001695237
Jharkhand,20,0.000443466,0.000109656,0.000570043,0.651594818,0.593175292,0.655856133,0.001402731,0.001208161,0.001476491,0.006570545,0.007403537,0.006254126,0.6788854,0.821042478,0.614961565,0.002842039,0.001377856,0.003397097,0.006616212,0.012966178,0.004209033,0.87450254,0.950245142,0.786050737,0.004315445,0.004325335,0.004311696,0.010959881,0.026238,0.005164306,0.870088696,0.912240386,0.788850546,0.002407519,0.001934934,0.002586672,0.006716423,0.007209297,0.006529595,0.324620754,0.186255455,0.502687991,0.002252779,0.002316225,0.002228728,20,0.012950459,0.001666904,0.017885774,0.900838971,1,0.896796823,0.001199079,0,0.001722641,0.014520363,0.007809499,0.01745596,0.807785809,0.671067774,0.834541917,0.001277879,0,0.001835848,0.023032218,0.017611859,0.025404435,0.756680548,0.66016382,0.785964191,0.001610875,0,0.002314242,0.007111981,0.005269398,0.007918705,0.936476827,0.806050897,0.974475563,0.001885299,0,0.002708489,0.017064163,0.006813164,0.021547504,0.821578264,0.526463926,0.887825727,0.00114561,0,0.001645826
