DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma_q1,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma_q1,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma_q1,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma,h_glucose_all_ma_q2,hh_glucose_all_ma_q2,l_glucose_all_ma_q2,h_glucose_all_ma_q3,hh_glucose_all_ma_q3,l_glucose_all_ma_q3,h_glucose_all_ma_q4,hh_glucose_all_ma_q4,l_glucose_all_ma_q4,h_glucose_all_ma_q5,hh_glucose_all_ma_q5,l_glucose_all_ma_q5
Ganderbal,Jammu & Kashmir,1,11,11,0.302306712,0.485735804,0.42526716,0.670190752,0.442546278,0.57473284,0.027502563,0.071717896,0,0.294111729,0.193566412,0.165947199,0,0.037192639,0,0.15724501,0.081988499,0.225127935,0.424356341,0.523227334,0.413123935,0.303346485,0.466657102,0.42078498,0.026434887,0.037192639,0.058945306,0.673795342,0.769192815,0.775107503,0.299769789,0.193614542,0.165947199,0.302306712,0.670190752,0.027502563,0.302306712,0.670190752,0.027502563,0.331839681,0.643608868,0.024551453,0.302306712,0.670190752,0.027502563
Pulwama,Jammu & Kashmir,1,12,12,0.558777869,0.558866262,1,0.297116101,0.441133738,0,0.14410603,0,0,0.29608959,0.308584899,0,0.069144979,0,0,0.275756747,0.132548839,1,0.218318015,0,0,0.21086219,0.558866262,0,0.070171505,0,0,0.64503181,1,1,0.284796715,0,0,0.558777869,0.297116101,0.14410603,0.558777869,0.297116101,0.14410603,0.560181201,0.356572211,0.083246566,0.558777869,0.297116101,0.14410603
Shupiyan,Jammu & Kashmir,1,13,13,0.501517355,0.666666687,0.506218255,0.422252655,0.333333343,0.368778765,0.076229975,0,0.125002995,0.338449895,0.131578937,0.352429062,0.054019112,0,0,0.107010946,0.131578937,0.103631534,0.350088269,0.736842096,0.398445606,0.190719619,0.140350908,0.211558342,0.069234714,0,0.050439496,0.548157573,0.403508782,0.549037933,0.382607728,0.596491218,0.40052256,0.501517355,0.422252655,0.076229975,0.501517355,0.422252655,0.076229975,0.336250007,0.64719218,0.016557818,0.501517355,0.422252655,0.076229975
Anantnag,Jammu & Kashmir,1,14,14,0.466515213,0.650300264,0.328174382,0.533484817,0.327495694,0.671825647,0,0.022204056,0,0.277880758,0.279765546,0.297225386,0.082977407,0.10080222,0.093763553,0.153691158,0.118246704,0.160914958,0.388667375,0.456777424,0.284959823,0.17632018,0.136754453,0.163136289,0.126186356,0.052697804,0.187527105,0.614197254,0.596768022,0.554881275,0.259616375,0.350534201,0.257591605,0.466515213,0.533484817,0,0.466515213,0.533484817,0,0.510799229,0.489200771,0,0.466515213,0.533484817,0
Kulgam,Jammu & Kashmir,1,15,15,0.360135764,0.39879477,0.292769372,0.550766051,0.532092512,0.580949306,0.089098163,0.069112711,0.126281291,0.288354695,0.209923327,0.299834788,0.029120823,0.082904674,0.027541764,0.183796927,0.187263563,0.181713074,0.424845457,0.490997702,0.439439535,0.148687899,0.11802154,0.099827461,0.060998715,0.044113975,0.07718721,0.659061313,0.839253962,0.589370847,0.279939979,0.116632074,0.333441913,0.360135764,0.550766051,0.089098163,0.360135764,0.550766051,0.089098163,0.339906365,0.599034429,0.061059188,0.360135764,0.550766051,0.089098163
Doda,Jammu & Kashmir,1,16,16,0.457496166,0.74780184,0.41009596,0.396612853,0.130495459,0.427188635,0.145890996,0.121702723,0.16271542,0.382204056,0.37390092,0.424330384,0.016673861,0,0,0.096608534,0.121702723,0.08054512,0.422576964,0.504396379,0.395895183,0.177428454,0,0.214874804,0.06364546,0.121702723,0.058333676,0.400148243,0.37390092,0.372202814,0.536206305,0.504396379,0.569463551,0.457496166,0.396612853,0.145890996,0.457496166,0.396612853,0.145890996,0.235678047,0.631988287,0.132333696,0.457496166,0.396612853,0.145890996
Ramban,Jammu & Kashmir,1,17,17,0.507888556,0.776372552,0.561639071,0.376535624,0.223627418,0.331092805,0.11557579,0,0.10726814,0.300340414,0.223627418,0.290738016,0,0,0,0.164682329,0.223627418,0.172582015,0.424864322,0.552745163,0.421256661,0.19736208,0.276372582,0.202285826,0.053135667,0.276372582,0.043300189,0.55526799,0.447254837,0.573904335,0.391596317,0.276372582,0.382795483,0.507888556,0.376535624,0.11557579,0.507888556,0.376535624,0.11557579,0.651568234,0.321913987,0.026517794,0.507888556,0.376535624,0.11557579
Kishtwar,Jammu & Kashmir,1,18,18,0.49367857,0.5,0.523199201,0.312751114,0.25,0.282022268,0.193570301,0.25,0.194778502,0.342765957,0,0.344568014,0.046416029,0,0.057233259,0.102312423,0.25,0.126156271,0.394347697,0.75,0.377822399,0.158801779,0.25,0.136215121,0.080296829,0.25,0.072864518,0.626877785,0.75,0.651199639,0.292825401,0,0.275935858,0.49367857,0.312751114,0.193570301,0.49367857,0.312751114,0.193570301,0.595185101,0.333722711,0.071092181,0.49367857,0.312751114,0.193570301
Udhampur,Jammu & Kashmir,1,19,19,0.486865878,0.507127464,0.49205184,0.277342319,0.225053757,0.267123759,0.235791802,0.267818749,0.240824386,0.486941576,0.441488177,0.462043971,0.086811148,0,0.091671206,0.170727879,0.118162476,0.17901139,0.233067214,0.44034934,0.240287289,0.032432728,0.112526879,0.026986159,0.011218362,0,0.013483788,0.445571274,0.498508126,0.426491439,0.543210387,0.501491904,0.560024798,0.486865878,0.277342319,0.235791802,0.486865878,0.277342319,0.235791802,0.507298648,0.343139499,0.149561867,0.486865878,0.277342319,0.235791802
Reasi,Jammu & Kashmir,1,20,20,0.458367854,0.145460114,0.453581482,0.4330796,0.427269936,0.432374626,0.108552538,0.427269936,0.114043891,0.399961561,0.572730064,0.45127061,0.005182691,0,0.006064706,0.142718375,0.145460114,0.129014611,0.399540931,0.136349708,0.352102488,0.121566482,0.145460114,0.11352282,0.045450717,0,0.036427461,0.566791236,0.572730064,0.565770686,0.387758046,0.427269936,0.397801876,0.458367854,0.4330796,0.108552538,0.458367854,0.4330796,0.108552538,0.372109741,0.541521966,0.086368278,0.458367854,0.4330796,0.108552538
Jammu,Jammu & Kashmir,1,21,21,0.52144444,0.306218445,0.395100176,0.417383641,0.540672302,0.604899824,0.061171886,0.153109223,0,0.500588,0.270336151,0.25653547,0,0,0,0.078458481,0,0.257858574,0.351254404,0.729663849,0.25653547,0.171448827,0.306218445,0.229070485,0,0,0,0.439648181,0.270336151,0.514394045,0.560351789,0.729663849,0.485605955,0.52144444,0.417383641,0.061171886,0.52144444,0.417383641,0.061171886,0.336660355,0.594079971,0.069259673,0.52144444,0.417383641,0.061171886
Samba,Jammu & Kashmir,1,22,22,0.440810561,0.43026799,0.49676019,0.421230197,0.225517601,0.50323981,0.137959227,0.34421441,0,0.269715577,0.116000339,0.175853088,0,0,0,0.060239505,0,0.088499427,0.541859508,0.767999291,0.638911486,0.248261437,0.535998642,0.273142844,0.065845944,0,0.096735992,0.579111099,0.303997964,0.551004052,0.355042964,0.696002066,0.352259964,0.440810561,0.421230197,0.137959227,0.440810561,0.421230197,0.137959227,0.456774563,0.437812507,0.105412923,0.440810561,0.421230197,0.137959227
Chamba,Himachal Pradesh,2,23,23,0.459974885,0.379686922,0.448979646,0.431334585,0.620313048,0.43653211,0.108690545,0,0.114488229,0.292637259,0.586457968,0.26974386,0.018179301,0,0.019293685,0.096801393,0,0.102735274,0.49294889,0.413542032,0.502698839,0.180639356,0,0.191712469,0.018179301,0,0.019293685,0.56905508,0.586457968,0.563106,0.412765622,0.413542032,0.417600334,0.459974885,0.431334585,0.108690545,0.459974885,0.431334585,0.108690545,0.25345394,0.669763863,0.076782167,0.459974885,0.431334585,0.108690545
Kangra,Himachal Pradesh,2,24,24,0.427290648,1,0.403179318,0.43822071,0,0.429069281,0.134488642,0,0.167751387,0.344933987,0.602293432,0.254482865,0,0,0,0.030960232,0,0.038913526,0.482897609,0.397706568,0.529120862,0.23606281,0,0.296704352,0.06643641,0,0.083503082,0.358999372,0.301146716,0.364360601,0.574564219,0.698853314,0.552136302,0.427290648,0.43822071,0.134488642,0.427290648,0.43822071,0.134488642,0.476394773,0.403567374,0.120037839,0.427290648,0.43822071,0.134488642
Lahul & Spiti,Himachal Pradesh,2,25,25,0.465015888,,0.475348681,0.462592751,,0.448803663,0.072391368,,0.075847648,0.296822578,,0.286959976,0,,0,0.138531223,,0.145349979,0.462537169,,0.460555047,0.186881602,,0.196080238,0.019791445,,0.020765614,0.595013916,,0.613878012,0.3851946,,0.365356386,0.465015888,0.462592751,0.072391368,0.465015888,0.462592751,0.072391368,0.37214765,0.627852321,0,0.465015888,0.462592751,0.072391368
Kullu,Himachal Pradesh,2,26,26,0.401726276,0.196756735,0.42166394,0.53827548,0.803243279,0.515360117,0.059998237,0,0.062975951,0.314554006,0.131171167,0.313991576,0.016409831,0,0.017480921,0.067772068,0,0.072195634,0.364507467,0.736720741,0.344121844,0.345115393,0.334863126,0.367641479,0.019944159,0.066522531,0.02124594,0.503482521,0.605549574,0.492168009,0.476573288,0.327927917,0.486586064,0.401726276,0.53827548,0.059998237,0.401726276,0.53827548,0.059998237,0.437896878,0.520221531,0.041881632,0.401726276,0.53827548,0.059998237
