DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma_q1,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma_q1,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma_q1,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma,h_glucose_all_ma_q2,hh_glucose_all_ma_q2,l_glucose_all_ma_q2,h_glucose_all_ma_q3,hh_glucose_all_ma_q3,l_glucose_all_ma_q3,h_glucose_all_ma_q4,hh_glucose_all_ma_q4,l_glucose_all_ma_q4,h_glucose_all_ma_q5,hh_glucose_all_ma_q5,l_glucose_all_ma_q5
Etawah,Uttar Pradesh,9,161,161,0.399822503,0.5,0.499858916,0.496576101,0.5,0.370618403,0.103601411,0,0.129522696,0.198113009,1,0.24768129,0,0,0,0.103601411,0,0.129522696,0.401838779,0,0.252177596,0.2964468,0,0.370618403,0.103601411,0,0.129522696,0.399822503,0.5,0.499858916,0.496576101,0.5,0.370618403,0.399822503,0.496576101,0.103601411,0.399822503,0.496576101,0.103601411,0.455399841,0.511027455,0.033572722,0.399822503,0.496576101,0.103601411
Auraiya,Uttar Pradesh,9,162,162,0.388348788,0.638795197,0.208173245,0.465958565,0.306023985,0.503518164,0.145692647,0.055180803,0.28830862,0.560855627,0.306023985,0.694268286,0,0.083614402,0,0.09231811,0.193976,0,0.297905922,0.416385591,0.208924085,0.097461246,0,0.096807599,0.047623657,0,0,0.451581746,0.555180788,0.515990555,0.50079459,0.444819212,0.484009445,0.388348788,0.465958565,0.145692647,0.388348788,0.465958565,0.145692647,0.570462584,0.168656945,0.26088047,0.388348788,0.465958565,0.145692647
Kanpur Dehat,Uttar Pradesh,9,163,163,0.603472233,0.432548165,0.615401149,0.264572561,0.297644496,0.275892466,0.131955177,0.269807339,0.108706363,0.587737739,0.595288992,0.618267894,0.038087431,0,0.021708982,0.102534309,0.134903669,0.093625575,0.271640509,0.269807339,0.266397536,0.0185389,0,0.02085327,0,0,0,0.543719471,0.134903669,0.526479959,0.4562805,0.865096331,0.473520041,0.603472233,0.264572561,0.131955177,0.603472233,0.264572561,0.131955177,0.104614943,0.336391509,0.558993518,0.603472233,0.264572561,0.131955177
Kanpur Nagar,Uttar Pradesh,9,164,164,0.382958978,0.423782766,0.516072631,0.563689888,0.389030457,0.400700718,0.053351156,0.187186778,0.083226673,0.439770728,0.347863883,0.426314563,0,0,0,0.092104763,0.268293917,0.143681481,0.468124509,0.3838422,0.430003971,0.052138701,0.067073479,0.081335269,0,0,0,0.626803935,0.638400555,0.583191812,0.373196065,0.361599445,0.416808188,0.382958978,0.563689888,0.053351156,0.382958978,0.563689888,0.053351156,0.449964464,0.45167464,0.098360904,0.382958978,0.563689888,0.053351156
Jalaun,Uttar Pradesh,9,165,165,0.520879626,0.287340254,0.54459095,0.479120374,0.570886552,0.45540905,0,0.141773164,0,0.408105731,0.287340254,0.449680805,0,0,0,0.123715885,0.283546329,0.103305817,0.42893064,0.429113418,0.394127667,0.086297959,0,0.052885726,0.039247736,0,0.052885726,0.599696755,0.716453671,0.517648399,0.361055493,0.283546329,0.42946586,0.520879626,0.479120374,0,0.520879626,0.479120374,0,0.445965618,0.514757991,0.039276354,0.520879626,0.479120374,0
Jhansi,Uttar Pradesh,9,166,166,0.387642711,0.642956913,0.256409824,0.612357259,0.17539072,0.743590176,0,0.181652382,0,0.508791566,0.451476187,0.648862779,0.045045245,0.031596441,0,0.180045366,0.109772816,0.191015378,0.266117841,0.342843235,0.160121828,0,0.141272262,0,0,0.064311348,0,0.483890206,0.324169844,0.802148283,0.516109765,0.6115188,0.197851703,0.387642711,0.612357259,0,0.387642711,0.612357259,0,0.275033683,0.620543718,0.104422584,0.387642711,0.612357259,0
Lalitpur,Uttar Pradesh,9,167,167,0.517931163,0.405477732,0.460077137,0.396847427,0.594522238,0.450471789,0.085221432,0,0.08945106,0.411972702,0.269872397,0.470521212,0.111397661,0,0.042911805,0.054618437,0,0.081969418,0.371970296,0.621910989,0.370225281,0.081051268,0.216433242,0.080911539,0.027137717,0,0,0.415427208,0.594522238,0.399278671,0.557435095,0.405477732,0.6007213,0.517931163,0.396847427,0.085221432,0.517931163,0.396847427,0.085221432,0.658395827,0.341604173,0,0.517931163,0.396847427,0.085221432
Hamirpur,Uttar Pradesh,9,168,168,0.261750668,0.394087791,0.328891635,0.738249362,0.394087791,0.671108365,0,0.211824417,0,0.609742761,0.523505747,0.526572168,0,0,0,0.042618692,0.199960873,0.073979169,0.347638547,0.129417956,0.399448693,0,0.147115439,0,0,0,0,0.38425532,0.658757627,0.541539967,0.61574465,0.341242373,0.458460033,0.261750668,0.738249362,0,0.261750668,0.738249362,0,0.437352747,0.417197526,0.145449758,0.261750668,0.738249362,0
Mahoba,Uttar Pradesh,9,169,169,0.338792562,0.272157311,0.403491527,0.48047027,0.656267524,0.472320706,0.180737182,0.071575142,0.12418776,0.516734779,0.664290547,0.529589891,0.102097921,0,0,0,0.203642294,0,0.381167293,0.132067159,0.470410079,0,0,0,0,0.143150285,0,0.461016417,0.358883828,0.596508443,0.538983583,0.497965872,0.403491527,0.338792562,0.48047027,0.180737182,0.338792562,0.48047027,0.180737182,0.300757706,0.552345037,0.146897256,0.338792562,0.48047027,0.180737182
Banda,Uttar Pradesh,9,170,170,0.419106454,0.188019365,0.500014067,0.494040817,0.555748284,0.39670971,0.086852722,0.256232351,0.103276238,0.40171957,0.247922555,0.401766956,0.018860063,0.068212986,0.028525649,0.108573362,0.128116176,0.05438875,0.452276558,0.495845109,0.515318632,0.052979823,0.179709569,0.023956213,0,0.059903186,0,0.53884536,0.37603873,0.52065134,0.46115464,0.564058065,0.47934866,0.419106454,0.494040817,0.086852722,0.419106454,0.494040817,0.086852722,0.379580945,0.303544074,0.316875011,0.419106454,0.494040817,0.086852722
Chitrakoot,Uttar Pradesh,9,171,171,0.451963335,0.561442137,0.425120145,0.469293863,0.326269478,0.478777856,0.078742795,0.112288423,0.096101992,0.571424961,0.561442137,0.569900215,0.052375976,0,0.021760747,0.182919055,0,0.223244354,0.173598096,0.326269478,0.161073804,0.019681903,0.112288423,0.024020864,0.018280817,0,0,0.612379611,0.443855792,0.645466626,0.369339556,0.556144238,0.354533374,0.451963335,0.469293863,0.078742795,0.451963335,0.469293863,0.078742795,0.268008947,0.539863229,0.192127824,0.451963335,0.469293863,0.078742795
Fatehpur,Uttar Pradesh,9,172,172,0.25871551,,0.261410624,0.65449214,,0.639498949,0.086792372,,0.099090382,0.341667652,,0.350956142,0.031992551,,0.019543989,0.114087977,,0.130253628,0.475927383,,0.457774848,0.055718616,,0.063613638,0.014874149,,0.016981736,0.657291591,,0.647855639,0.327834249,,0.33516261,0.25871551,0.65449214,0.086792372,0.25871551,0.65449214,0.086792372,0.14237088,0.744453132,0.113175988,0.25871551,0.65449214,0.086792372
Pratapgarh,Uttar Pradesh,9,173,173,0.445067376,,0.457068205,0.200190946,,0.141811088,0.354741663,,0.401120692,0.579701424,,0.585352361,0,,0,0.036983799,,0.046373039,0.383314788,,0.368274629,0.045647528,,0.057236265,0,,0,0.498079777,,0.52938211,0.501920223,,0.47061792,0.445067376,0.200190946,0.354741663,0.445067376,0.200190946,0.354741663,0.393628895,0.498315334,0.108055763,0.445067376,0.200190946,0.354741663
Kaushambi,Uttar Pradesh,9,174,174,0.341373056,0.268184453,0.387089998,0.360217184,0.438892096,0.283636868,0.29840976,0.29292345,0.329273134,0.454860389,0.487877041,0.505049467,0.019230273,0,0.029028358,0.146231294,0,0.095650032,0.324118257,0.365661234,0.337525249,0.055559795,0.243938521,0.032746889,0.037648864,0,0.056831475,0.640288949,0.512122989,0.568023324,0.322062194,0.487877041,0.375145227,0.341373056,0.360217184,0.29840976,0.341373056,0.360217184,0.29840976,0.268948555,0.540210724,0.190840721,0.341373056,0.360217184,0.29840976
Allahabad,Uttar Pradesh,9,175,175,0.247162744,0.795427024,0.273679405,0.558974445,0,0.52402246,0.193862796,0.204573005,0.202298149,0.5707708,0.290691555,0.641744673,0.045113333,0.204573005,0.058266178,0.121735014,0,0.157226995,0.223752111,0.50473547,0.142762139,0.114028953,0.096897177,0.097383201,0,0,0,0.668874025,0.204573005,0.716838598,0.331126004,0.795427024,0.283161402,0.247162744,0.558974445,0.193862796,0.247162744,0.558974445,0.193862796,0.434140801,0.32979244,0.236066759,0.247162744,0.558974445,0.193862796
Bara Banki,Uttar Pradesh,9,176,176,0.397077709,0.655531347,0.437972516,0.510069668,0.344468683,0.530329645,0.09285266,0,0.031697821,0.306702584,0,0.303860128,0.04599927,0,0,0.0983712,0.344468683,0.037419155,0.454568505,0.655531347,0.523674846,0.175487608,0.155531332,0.251158029,0,0,0,0.395315111,0.844468653,0.363245755,0.604684889,0.155531332,0.636754215,0.397077709,0.510069668,0.09285266,0.397077709,0.510069668,0.09285266,0.148299307,0.777353525,0.074347176,0.397077709,0.510069668,0.09285266
Faizabad,Uttar Pradesh,9,177,177,0.437750906,1,0.3786273,0.430269152,0,0.464368463,0.131979942,0,0.157004237,0.451254606,0,0.536815524,0.052471276,0,0.062420182,0.180463687,0,0.11987745,0.275895834,1,0.280886829,0.081066228,1,0.048954289,0,0,0,0.735719621,1,0.733092964,0.264280349,0,0.266907066,0.437750906,0.430269152,0.131979942,0.437750906,0.430269152,0.131979942,0.299381852,0.492471546,0.208146602,0.437750906,0.430269152,0.131979942
Ambedkar Nagar,Uttar Pradesh,9,178,178,0.491288036,0.355927855,0.489083856,0.42021507,0.644072175,0.403496176,0.088496894,0,0.107419953,0.458747834,0.589684904,0.493847668,0.043825295,0,0.097131252,0.133847892,0.094842456,0.199519634,0.316783249,0.315472633,0.209501445,0.136730447,0.105157539,0.102081493,0.046058826,0,0.102081493,0.590194106,0.49484247,0.608047366,0.36374706,0.50515753,0.289871097,0.491288036,0.42021507,0.088496894,0.491288036,0.42021507,0.088496894,0.331633687,0.542702556,0.125663757,0.491288036,0.42021507,0.088496894
Sultanpur,Uttar Pradesh,9,179,179,0.45698306,,0.385527998,0.454194784,,0.452522397,0.088822134,,0.161949605,0.426754624,,0.505935788,0.086339764,,0.050592296,0.184776261,,0.110787272,0.302129358,,0.332684636,0,,0,0.027747618,,0.050592296,0.671045125,,0.616143763,0.301207274,,0.333263934,0.45698306,0.454194784,0.088822134,0.45698306,0.454194784,0.088822134,0.537705898,0.312018752,0.150275379,0.45698306,0.454194784,0.088822134
Bahraich,Uttar Pradesh,9,180,180,0.268229961,0.330166757,0.270219117,0.686398745,0.595407307,0.670303345,0.045371275,0.074425913,0.059477534,0.407419682,0.255740851,0.362797052,0,0.074425913,0,0.113490812,0.148851827,0.149085149,0.432426572,0.446555495,0.426819891,0.07191775,0.074425913,0.061297912,0.02207187,0,0.028994313,0.64265573,0.479018599,0.726036966,0.335272402,0.520981431,0.244968727,0.268229961,0.686398745,0.045371275,0.268229961,0.686398745,0.045371275,0.336209148,0.538366258,0.125424623,0.268229961,0.686398745,0.045371275
Shrawasti,Uttar Pradesh,9,181,181,0.224699497,0,0.247830749,0.681238353,1,0.677297533,0.094062179,0,0.074871704,0.217323989,0,0.259087324,0.032982673,0.333333343,0.039320979,0.137410492,0.333333343,0.14421241,0.502815068,0.333333343,0.441282243,0.158557385,0.333333343,0.154954389,0,0.333333343,0,0.588999987,0,0.545135558,0.411000043,0.666666687,0.454864442,0.224699497,0.681238353,0.094062179,0.224699497,0.681238353,0.094062179,0.18161808,0.818381906,0,0.224699497,0.681238353,0.094062179
Balrampur,Uttar Pradesh,9,182,182,0.277283877,0.485406399,0.300526083,0.665475845,0.514593601,0.622072577,0.057240278,0,0.077401355,0.283753991,0.228109613,0.28079313,0.027421046,0,0.037722953,0.255692542,0,0.229293764,0.24342373,0.657835603,0.226784706,0.189708695,0.400538772,0.225405455,0.054323535,0,0.074732527,0.78010273,0.514593601,0.734854996,0.165573761,0.485406399,0.190412462,0.277283877,0.665475845,0.057240278,0.277283877,0.665475845,0.057240278,0.385009795,0.558998346,0.055991877,0.277283877,0.665475845,0.057240278
Gonda,Uttar Pradesh,9,183,183,0.368540585,0.714285731,0.249330863,0.560158491,0.285714298,0.65391171,0.071300924,0,0.096757412,0.342890084,0.142857149,0.283461839,0.043178555,0,0.059498627,0.130924001,0,0.180408984,0.399689734,0.571428597,0.425414652,0.125839949,0.285714298,0.109810315,0.036625471,0.142857149,0.050468694,0.579167843,0.285714298,0.603551388,0.384206712,0.571428597,0.345979929,0.368540585,0.560158491,0.071300924,0.368540585,0.560158491,0.071300924,0.136048764,0.782336235,0.081614979,0.368540585,0.560158491,0.071300924
Siddharth Nagar,Uttar Pradesh,9,184,184,0.248388425,0,0.298623979,0.701843143,1,0.641542137,0.049768429,0,0.059833892,0.499577552,0.666666687,0.430964798,0.05147684,0,0,0.150694385,0,0.191004008,0.297734231,0.333333343,0.312129378,0.149375498,0,0.189332321,0.05147684,0,0,0.535903096,1,0.679253161,0.412620097,0,0.320746869,0.248388425,0.701843143,0.049768429,0.248388425,0.701843143,0.049768429,0.105268635,0.841795087,0.052936301,0.248388425,0.701843143,0.049768429
Basti,Uttar Pradesh,9,185,185,0.316988438,,0.373084456,0.559922397,,0.534037888,0.123089157,,0.092877649,0.319976151,,0.376600891,0,,0,0.092811964,,0.109236486,0.364897668,,0.30450049,0.353037268,,0.363518655,0.078912795,,0.092877649,0.355610669,,0.366547465,0.565476537,,0.540574908,0.316988438,0.559922397,0.123089157,0.316988438,0.559922397,0.123089157,0.28178075,0.718219221,0,0.316988438,0.559922397,0.123089157
Sant Kabir Nagar,Uttar Pradesh,9,186,186,0.470202237,0.188455775,0.475503683,0.529797792,0.717316329,0.524496317,0,0.094227888,0,0.348996609,0.635257363,0.37908262,0,0,0,0.101498678,0.094227888,0,0.349214882,0.082058959,0.381297141,0.200289831,0.188455775,0.239620209,0.053826995,0,0,0.537590802,0.446801603,0.601510167,0.408582211,0.553198397,0.398489863,0.470202237,0.529797792,0,0.470202237,0.529797792,0,0.452844054,0.519298494,0.027857438,0.470202237,0.529797792,0
Maharajganj,Uttar Pradesh,9,187,187,0.303466618,0.25,0.350432962,0.61431706,0.75,0.581167459,0.082216345,0,0.068399571,0.188815877,0.25,0.231950194,0,0,0,0.195745155,0.25,0.242581442,0.467210799,0.25,0.35869351,0.265362829,0.25,0.231006816,0.03763466,0,0.057741079,0.652299881,0.75,0.587431252,0.310065448,0.25,0.354827672,0.303466618,0.61431706,0.082216345,0.303466618,0.61431706,0.082216345,0.29514879,0.70485121,0,0.303466618,0.61431706,0.082216345
Gorakhpur,Uttar Pradesh,9,188,188,0.367145121,,0.287514329,0.632854879,,0.712485671,0,,0,0.442251444,,0.616226733,0.091404907,,0,0.090028122,,0.083525188,0.376315534,,0.300248116,0.142044216,,0.099805526,0,,0,0.611382186,,0.485249281,0.388617843,,0.514750719,0.367145121,0.632854879,0,0.367145121,0.632854879,0,0.401340455,0.489538759,0.109120756,0.367145121,0.632854879,0
Kushinagar,Uttar Pradesh,9,189,189,0.334710687,0.666666687,0.309316605,0.50313586,0.333333343,0.546971619,0.162153438,0,0.14371179,0.324731261,0.333333343,0.288965672,0.033614337,0,0.049804054,0.030807788,0.333333343,0.045645781,0.438258767,0.333333343,0.359872937,0.278342396,0,0.358888119,0.069637142,0,0.103176571,0.696018279,0.333333343,0.648902416,0.234344587,0.666666687,0.24792099,0.334710687,0.50313586,0.162153438,0.334710687,0.50313586,0.162153438,0.41764915,0.477043569,0.105307274,0.334710687,0.50313586,0.162153438
Deoria,Uttar Pradesh,9,190,190,0.382097512,0.416666657,0.378206313,0.487088352,0.333333343,0.621793687,0.130814135,0.25,0,0.378442585,0.583333313,0.118542135,0.064776286,0,0.131893098,0.130183354,0.166666672,0,0.305626661,0.166666672,0.503251553,0.17943728,0,0.365358084,0,0.083333336,0,0.807064772,0.583333313,0.740335822,0.192935199,0.333333343,0.259664178,0.382097512,0.487088352,0.130814135,0.382097512,0.487088352,0.130814135,0.395341665,0.604658365,0,0.382097512,0.487088352,0.130814135
Azamgarh,Uttar Pradesh,9,191,191,0.38319242,,0.386723638,0.509060383,,0.471178651,0.107747205,,0.142097712,0.296192646,,0.296086818,0,,0,0,,0,0.62846005,,0.703913152,0.075347282,,0,0.075347282,,0,0.683422565,,0.771374404,0.24123013,,0.22862561,0.38319242,0.509060383,0.107747205,0.38319242,0.509060383,0.107747205,0.51851052,0.48148948,0,0.38319242,0.509060383,0.107747205
Mau,Uttar Pradesh,9,192,192,0.37684381,0.332124412,0.604375064,0.568297505,0.638611615,0.288664281,0.054858673,0.029263953,0.106960654,0.502685606,0.502129793,0.481051117,0,0,0,0.054858673,0.058527905,0.106960654,0.348546237,0.316022098,0.411988229,0.18781893,0.195009783,0.152513787,0.078360952,0,0,0.569796264,0.413019061,0.756888866,0.351842791,0.586980939,0.243111134,0.37684381,0.568297505,0.054858673,0.37684381,0.568297505,0.054858673,0.397431374,0.491308481,0.111260146,0.37684381,0.568297505,0.054858673
Ballia,Uttar Pradesh,9,193,193,0.386560977,0.5,0.442047,0.613439023,0.5,0.557953,0,0,0,0.278375715,0,0.295459837,0.037781291,0,0,0.136015937,0,0.09717188,0.433058709,1,0.446536988,0.192101136,0,0.269202054,0,0,0,0.420774221,0.5,0.348630965,0.579225779,0.5,0.651369035,0.386560977,0.613439023,0,0.386560977,0.613439023,0,0.378259301,0.45047754,0.171263158,0.386560977,0.613439023,0
Jaunpur,Uttar Pradesh,9,194,194,0.268438041,0.607399344,0.188079968,0.547919035,0.392600656,0.584882855,0.183642894,0,0.227037191,0.508934498,0.411099017,0.439321667,0.040966209,0,0.050646409,0.170309395,0.196300328,0.21055302,0.15077658,0.196300328,0.186404645,0.165266424,0.196300328,0.157893881,0,0,0,0.54322052,0.392600656,0.625157416,0.45677948,0.607399344,0.374842554,0.268438041,0.547919035,0.183642894,0.268438041,0.547919035,0.183642894,0.441286534,0.47210294,0.086610533,0.268438041,0.547919035,0.183642894
Ghazipur,Uttar Pradesh,9,195,195,0.527862668,0.313003719,0.535370767,0.374178916,0.686996281,0.41369009,0.097958393,0,0.050939124,0.494419396,0.469505578,0.443946749,0.134770781,0,0.178678632,0.136408702,0,0.110230282,0.234401107,0.530494452,0.267144352,0.06264656,0,0.083056591,0,0,0,0.634581029,0.5,0.683457732,0.365418971,0.5,0.316542238,0.527862668,0.374178916,0.097958393,0.527862668,0.374178916,0.097958393,0.373904467,0.54315871,0.082936801,0.527862668,0.374178916,0.097958393
Chandauli,Uttar Pradesh,9,196,196,0.400659263,0.383433998,0.36142838,0.520640373,0.46626398,0.568467557,0.078700349,0.150302023,0.07010404,0.323338836,0.150302023,0.34248507,0.10754393,0,0.06487406,0.172829062,0.46626398,0.220597923,0.365048617,0.383433998,0.332168937,0.085843436,0,0.109570019,0.031239567,0,0,0.649075747,0.46626398,0.795270622,0.319684684,0.53373605,0.204729393,0.400659263,0.520640373,0.078700349,0.400659263,0.520640373,0.078700349,0.512685657,0.367662162,0.119652197,0.400659263,0.520640373,0.078700349
Varanasi,Uttar Pradesh,9,197,197,0.428126901,0.47802794,0.525603712,0.518520236,0.372218072,0.389901876,0.053352881,0.149753973,0.084494412,0.446178466,0.513817608,0.520917892,0,0.028110156,0,0.247716978,0.211861476,0.16818285,0.263173908,0.246210754,0.242910475,0.064395949,0.023628745,0.101983197,0,0.028110156,0,0.528760433,0.566962302,0.47115916,0.471239567,0.404927552,0.52884084,0.428126901,0.518520236,0.053352881,0.428126901,0.518520236,0.053352881,0.414448738,0.470289588,0.115261681,0.428126901,0.518520236,0.053352881
Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,9,198,198,0.426404446,0.490142643,0.467495769,0.509252906,0.401424557,0.483543307,0.064342633,0.1084328,0.04896092,0.45846498,0.490142643,0.468659848,0.072329305,0.066484228,0.058817025,0.170240298,0.167470157,0.04896092,0.269280344,0.1084328,0.374062806,0.098537609,0.221686557,0.049499385,0.068852551,0.100985937,0.053299237,0.599832416,0.522125185,0.626248837,0.331315011,0.376888901,0.320451915,0.426404446,0.509252906,0.064342633,0.426404446,0.509252906,0.064342633,0.551148713,0.356968254,0.091883034,0.426404446,0.509252906,0.064342633
Mirzapur,Uttar Pradesh,9,199,199,0.344252586,0.460817754,0.274198234,0.517117262,0.539182246,0.518185556,0.138630152,0,0.20761621,0.490823299,0.5,0.560767233,0.025254073,0,0.038920891,0.138131171,0.105685107,0.08058849,0.32131812,0.394314885,0.282005757,0.129559487,0.105685107,0.154480278,0.073872037,0,0.11384958,0.480184108,0.644314885,0.392661601,0.445943832,0.355685115,0.493488818,0.344252586,0.517117262,0.138630152,0.344252586,0.517117262,0.138630152,0.422103941,0.489616156,0.088279888,0.344252586,0.517117262,0.138630152
Sonbhadra,Uttar Pradesh,9,200,200,0.412490398,0.428571433,0.443926007,0.356278449,0.214285716,0.305222034,0.231231168,0.357142866,0.250851959,0.533662438,0.571428597,0.498589247,0.031124385,0,0.049264889,0.095126525,0.071428575,0.10076905,0.279779285,0.285714298,0.302111924,0.140993133,0.071428575,0.176977485,0.045845512,0,0.049357649,0.513775229,0.357142866,0.553633749,0.440379262,0.642857134,0.397008628,0.412490398,0.356278449,0.231231168,0.412490398,0.356278449,0.231231168,0.45051381,0.276551813,0.272934377,0.412490398,0.356278449,0.231231168
Etah,Uttar Pradesh,9,201,201,0.469364941,0.410871804,0.467443794,0.375204295,0.471302569,0.44803682,0.155430779,0.117825642,0.084519394,0.418548673,0.589128196,0.369971216,0.030785661,0.117825642,0.059051119,0.027909642,0,0,0.46522215,0.293046147,0.515844941,0.117062382,0,0.16931653,0,0,0,0.465894878,0.353476912,0.455873638,0.534105122,0.646523058,0.544126332,0.469364941,0.375204295,0.155430779,0.469364941,0.375204295,0.155430779,0.455174565,0.427134931,0.117690518,0.469364941,0.375204295,0.155430779
Kansiram Nagar,Uttar Pradesh,9,202,202,0.416785747,0.413639337,0.377754688,0.468699396,0.344004512,0.512288451,0.114514858,0.242356151,0.109956846,0.695490181,0.58280611,0.730817854,0.039740372,0.060409274,0.056322012,0.038192332,0.055796489,0,0.151454628,0.238801584,0.160520896,0.075122491,0.062186554,0.052339237,0,0.060409274,0,0.450253814,0.417193919,0.316931188,0.549746156,0.522396803,0.683068812,0.416785747,0.468699396,0.114514858,0.416785747,0.468699396,0.114514858,0.443757921,0.356737971,0.199504107,0.416785747,0.468699396,0.114514858
Pashchim Champaran,Bihar,10,203,203,0.358558625,0,0.369855046,0.510421872,1,0.49499768,0.131019488,0,0.135147274,0.646179557,1,0.6354388,0.064164475,0,0.066112272,0.02946208,0,0.030356444,0.197405204,0,0.203397721,0.06278871,0,0.064694755,0.034409501,0,0.03545405,0.447625428,1,0.461213738,0.517965078,0,0.503332198,0.358558625,0.510421872,0.131019488,0.358558625,0.510421872,0.131019488,0.478063911,0.521936119,0,0.358558625,0.510421872,0.131019488
Purba Champaran,Bihar,10,204,204,0.558096051,0.5,0.536622167,0.346122652,0.5,0.40085718,0.095781289,0,0.062520653,0.515187263,0.632277131,0.480605304,0.039067157,0,0.051001694,0.078134313,0,0.051001694,0.367611259,0.367722899,0.41739133,0.08588855,0,0.112126447,0,0,0,0.493548542,0.367722899,0.528303444,0.506451428,0.632277131,0.471696556,0.558096051,0.346122652,0.095781289,0.558096051,0.346122652,0.095781289,0.413220853,0.586779177,0,0.558096051,0.346122652,0.095781289
Sheohar,Bihar,10,205,205,0.551921546,0.333333343,0.588231266,0.344462097,0.666666687,0.301335663,0.103616387,0,0.110433087,0.439105898,0.333333343,0.467993736,0,0,0,0.16766341,0.333333343,0.178693622,0.28789562,0.333333343,0.2410478,0.166160375,0,0.177091703,0.055063453,0,0.058685958,0.444103688,0.666666687,0.473320305,0.500832856,0.333333343,0.467993736,0.551921546,0.344462097,0.103616387,0.551921546,0.344462097,0.103616387,0.506576777,0.44518286,0.048240375,0.551921546,0.344462097,0.103616387
Sitamarhi,Bihar,10,206,206,0.240614846,0,0.25230813,0.559904397,0.75,0.538516879,0.199480757,0.25,0.20917502,0.679862857,0.5,0.664304972,0,0,0,0.040496308,0.375,0.042464327,0.160770044,0.125,0.168583065,0.198509008,0,0.208156034,0,0,0,0.475207746,0.625,0.498301625,0.524792254,0.375,0.501698375,0.240614846,0.559904397,0.199480757,0.240614846,0.559904397,0.199480757,0.292212576,0.582717419,0.125070021,0.240614846,0.559904397,0.199480757
Madhubani,Bihar,10,207,207,0.380014062,0.333333343,0.356650531,0.508472502,0.666666687,0.510122299,0.111513428,0,0.133227199,0.451116264,0,0.44159767,0.041849382,0,0.049998246,0.171335667,0.333333343,0.157336786,0.20402208,0.666666687,0.193750769,0.178463727,0.333333343,0.213213965,0.040161174,0,0.047981311,0.619544327,1,0.642821848,0.34029451,0,0.30919683,0.380014062,0.508472502,0.111513428,0.380014062,0.508472502,0.111513428,0.346636504,0.594298422,0.059065081,0.380014062,0.508472502,0.111513428
Supaul,Bihar,10,208,208,0.346103519,0.200000003,0.314221919,0.464130759,0,0.497044057,0.189765736,0.800000012,0.18873401,0.240727633,0.400000006,0.18649891,0.052609649,0,0.063574255,0.105623044,0,0.127636403,0.550160706,0.400000006,0.560807526,0.101555757,0.200000003,0.122721441,0.052609649,0,0.063574255,0.451609582,0.400000006,0.377898782,0.495780766,0.600000024,0.558526933,0.346103519,0.464130759,0.189765736,0.346103519,0.464130759,0.189765736,0.502189815,0.427737594,0.070072576,0.346103519,0.464130759,0.189765736
Araria,Bihar,10,209,209,0.254896551,0.5,0.191323981,0.656390011,0.5,0.737714291,0.088713467,0,0.070961744,0.601191401,0.333333343,0.566652417,0.063033246,0.166666672,0.074482188,0.149033323,0,0.176102743,0.186742052,0.5,0.182762638,0,0,0,0.031394418,0,0.03709669,0.559132278,0.333333343,0.550017715,0.4094733,0.666666687,0.412885576,0.254896551,0.656390011,0.088713467,0.254896551,0.656390011,0.088713467,0.406532556,0.501683533,0.091783896,0.254896551,0.656390011,0.088713467
Kishanganj,Bihar,10,210,210,0.195479795,0.210705757,0.227862343,0.604997814,0.682236612,0.536969006,0.199522421,0.107057624,0.235168651,0.417542368,0.278176606,0.604681849,0,0,0,0.1197965,0.165470213,0.084043778,0.346951514,0.44723618,0.230382293,0.151576117,0.165470213,0.080892101,0.033582009,0.105527639,0,0.491839737,0.503589392,0.54644978,0.474578261,0.390882999,0.45355022,0.195479795,0.604997814,0.199522421,0.195479795,0.604997814,0.199522421,0.517358005,0.447709441,0.034932572,0.195479795,0.604997814,0.199522421
Purnia,Bihar,10,211,211,0.449836373,0.800000012,0.448786914,0.333558857,0,0.338167191,0.216604754,0.200000003,0.21304588,0.544688225,0.400000006,0.609175444,0.038397547,0,0.0524115,0.299230784,0.400000006,0.177778691,0.117683455,0.200000003,0.160634384,0,0,0,0,0,0,0.519376934,0.800000012,0.395658433,0.480623096,0.200000003,0.604341567,0.449836373,0.333558857,0.216604754,0.449836373,0.333558857,0.216604754,0.388585985,0.475227326,0.136186719,0.449836373,0.333558857,0.216604754
