DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma
Kulgam,Jammu & Kashmir,1,15,15,0.339906365,0.40832749,0.388254553,0.599034429,0.59167254,0.588116765,0.061059188,0,0.023628686,0.394249529,0.267448932,0.310058504,0,0,0,0.088045567,0,0.086814381,0.42365849,0.432298094,0.533268213,0.181756273,0.40832749,0.188505933,0.120801859,0.108074524,0.06900613,0.518203616,0.384356856,0.549897492,0.360994518,0.507568657,0.381096393
Doda,Jammu & Kashmir,1,16,16,0.235678047,0.745716631,0.239104986,0.631988287,0.127141684,0.642544091,0.132333696,0.127141684,0.118350908,0.327929944,0.127141684,0.267569423,0,0,0,0.173126161,0.372858316,0.232180849,0.368012816,0.254283369,0.427586585,0.219906405,0.245716617,0.1522163,0.08897531,0.118574925,0.077389523,0.523494184,0.627141714,0.654916584,0.387530535,0.254283369,0.267693907
Ramban,Jammu & Kashmir,1,17,17,0.651568234,0.666666687,0.630017102,0.321913987,0,0.189979464,0.026517794,0.333333343,0.180003449,0.208007023,0.5,0.322202474,0,0,0,0.087203346,0,0.260367781,0.555969059,0.5,0.216318384,0.148820609,0,0.267977774,0,0,0.022089558,0.651474953,0,0.719317138,0.348525077,1,0.258593291
Kishtwar,Jammu & Kashmir,1,18,18,0.595185101,0.333333343,0.581458569,0.333722711,0.666666687,0.349109858,0.071092181,0,0.069431596,0.439129323,0.666666687,0.217866063,0.037602764,0,0,0.227975443,0,0.178199679,0.189818725,0.333333343,0.40869537,0.143076509,0,0.310858577,0,0,0,0.729801178,1,0.607145965,0.270198822,0,0.392854065
Udhampur,Jammu & Kashmir,1,19,19,0.507298648,0.298786849,0.408642232,0.343139499,0.577439845,0.46888864,0.149561867,0.123773322,0.122469112,0.449589133,0.351132244,0.528232932,0.034411982,0,0,0.052517135,0.133559421,0.029249215,0.384856224,0.44045639,0.357033312,0.182340249,0.074851952,0.172950149,0.061248485,0,0.058815114,0.603518069,0.557010889,0.64425391,0.33523345,0.442989111,0.296930999
Reasi,Jammu & Kashmir,1,20,20,0.372109741,,0.350599706,0.541521966,,0.55340004,0.086368278,,0.096000232,0.40800643,,0.362067699,0,,0.023424774,0.066672795,,0.049971245,0.495198876,,0.427602023,0.15818271,,0.223593339,0,,0.051795516,0.677528739,,0.567988694,0.322471261,,0.380215764
Jammu,Jammu & Kashmir,1,21,21,0.336660355,0.412908345,0.264114171,0.594079971,0.587091625,0.651183844,0.069259673,0,0.084701985,0.344879717,0.37789923,0.214254811,0,0,0,0.061055243,0,0.139969572,0.509503186,0.430793554,0.609215081,0.127771035,0.232161388,0.146619216,0.048243638,0,0.047735997,0.570538461,0.584962606,0.641071141,0.381217897,0.415037423,0.31119284
Samba,Jammu & Kashmir,1,22,22,0.456774563,0.487437487,0.500599623,0.437812507,0.307390273,0.425326914,0.105412923,0.205172211,0.074073486,0.089005724,0.404257745,0.09404511,0,0,0,0.165655702,0.09574227,0.109125726,0.470758468,0.404257745,0.663741887,0.406960219,0.09574227,0.299047709,0.066841841,0,0.037481867,0.568677008,0.845742285,0.562834203,0.364481151,0.15425773,0.399683923
Chamba,Himachal Pradesh,2,23,23,0.25345394,0,0.280228406,0.669763863,1,0.654128194,0.076782167,0,0.065643393,0.39987275,0,0.341863304,0,0,0,0.076782167,0,0.065643393,0.300148427,1,0.401675731,0.22319667,0,0.27234441,0.151473671,0,0.129499421,0.597369373,0,0.510709167,0.251156956,1,0.359791428
Kangra,Himachal Pradesh,2,24,24,0.476394773,,0.517000377,0.403567374,,0.403605968,0.120037839,,0.079393648,0.214621022,,0.319873512,0,,0,0.15154542,,0.161698222,0.559786677,,0.474317402,0.181964085,,0.123336621,0.034670118,,0.038973462,0.589673102,,0.603871465,0.375656754,,0.357155055
Lahul & Spiti,Himachal Pradesh,2,25,25,0.37214765,,0.404371053,0.627852321,,0.595628917,0,,0,0.192512885,,0.276818156,0,,0,0,,0.070189252,0.713744044,,0.506312788,0.186073825,,0.212177038,0,,0,0.708717287,,0.64300108,0.291282684,,0.35699892
Kullu,Himachal Pradesh,2,26,26,0.437896878,0.666666687,0.367611736,0.520221531,0.333333343,0.60488534,0.041881632,0,0.027502948,0.183655649,0,0.24150607,0,0,0,0.092308857,0.333333343,0.079314351,0.615798831,0.333333343,0.596302211,0.281980604,0.333333343,0.257092208,0.061775208,0,0.043151513,0.551243961,1,0.53241998,0.386980832,0,0.424428523
Mandi,Himachal Pradesh,2,27,27,0.383072495,0,0.371251166,0.543110132,1,0.58068043,0.073817365,0,0.048068374,0.14216274,0,0.091384001,0.0378705,0,0,0.10779243,0,0.123542063,0.452313989,1,0.485418886,0.362557471,1,0.480297923,0,0,0,0.738099813,0.5,0.750548363,0.261900216,0.5,0.249451637
Hamirpur,Himachal Pradesh,2,28,28,0.453118086,1,0.516797602,0.546881914,0,0.483202398,0,0,0,0.135909781,0,0.159430161,0,0,0,0.094720989,0,0.119412027,0.518901765,1,0.513668835,0.369300008,1,0.321493328,0.020204863,0,0,0.694257557,0,0.740251243,0.285537571,1,0.259748787
Una,Himachal Pradesh,2,29,29,0.461559832,0.400698692,0.453152269,0.417278081,0.397205204,0.456242979,0.121162079,0.202096105,0.090604752,0.259098649,0,0.281409293,0,0,0,0.054451372,0.202096105,0.029542165,0.476045817,0.599301279,0.428072214,0.345588326,0.198602602,0.32904765,0,0,0,0.616755247,0.602794826,0.516684353,0.383244783,0.397205204,0.483315676
Bilaspur,Himachal Pradesh,2,30,30,0.503921449,,0.495372802,0.452789485,,0.462498844,0.043289058,,0.042128339,0.317791045,,0.254000485,0,,0,0.077805124,,0.07564456,0.424414009,,0.513685226,0.285258353,,0.279030442,0.050939083,,0.049524557,0.622332573,,0.688110411,0.326728374,,0.262365043
