DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma
Lalitpur,Uttar Pradesh,9,167,167,0.658395827,,0.37860623,0.341604173,,0.566579103,0,,0.054814659,0.206315771,,0.634948492,0,,0,0.065836497,,0,0.727847755,,0.365051508,0.086688407,,0.053392794,0.067644194,,0,0.593439698,,0.353567183,0.338916093,,0.646432817
Hamirpur,Uttar Pradesh,9,168,168,0.437352747,0,0.232421502,0.417197526,1,0.539436698,0.145449758,0,0.228141814,0.421539009,0,0.462933481,0,0,0.064452395,0.194494784,0,0.137997091,0.233309552,1,0.232657,0.128432333,0,0.101960056,0.09478464,0,0.036937293,0.54246062,0,0.570130348,0.362754762,1,0.392932355
Mahoba,Uttar Pradesh,9,169,169,0.300757706,0,0.384165287,0.552345037,0.747299016,0.615834713,0.146897256,0.252700984,0,0.607178748,0.373649508,0.453972042,0.08452554,0,0.05572366,0.049135178,0,0.118345276,0.308295697,0.626350522,0.371959001,0,0,0,0.049135178,0,0,0.380026102,0.373649508,0.546160579,0.570838749,0.626350522,0.453839421
Banda,Uttar Pradesh,9,170,170,0.379580945,0.358660907,0.423380584,0.303544074,0.641339064,0.576619387,0.316875011,0,0,0.227305695,0.239107266,0.381526142,0,0.119553633,0,0.142695636,0,0.067172147,0.629998684,0.521785438,0.374567538,0.111241646,0.239107266,0.176734149,0,0,0,0.548278689,0.5,0.301867634,0.451721281,0.5,0.698132396
Chitrakoot,Uttar Pradesh,9,171,171,0.268008947,0.166666672,0.495827824,0.539863229,0.833333313,0.296271622,0.192127824,0,0.207900539,0.321435779,0.166666672,0.248357609,0,0,0.086183555,0.13691996,0.5,0.166826531,0.395417154,0.166666672,0.498632312,0.350443155,0.166666672,0.043432672,0,0.166666672,0.038834393,0.742475808,0.833333313,0.669490874,0.257524163,0,0.291674763
Fatehpur,Uttar Pradesh,9,172,172,0.14237088,0.75,0.344396859,0.744453132,0.25,0.360332906,0.113175988,0,0.295270234,0.353231251,0.5,0.625065863,0,0,0,0.163064525,0.25,0.105613388,0.483704209,0.25,0.189656839,0,0,0.079663932,0,0,0,0.67596364,0.75,0.536336839,0.32403636,0.25,0.463663161
Pratapgarh,Uttar Pradesh,9,173,173,0.393628895,0.25,0.596945286,0.498315334,0.75,0.237160623,0.108055763,0,0.165894106,0.487179309,0,0.465235889,0.047928147,0.25,0.03786397,0.081931263,0,0.158801883,0.354492158,0.75,0.255410224,0.054579627,0.5,0.082688048,0.126588956,0,0.044824079,0.518153429,0.25,0.492962986,0.35525763,0.75,0.46221295
Kaushambi,Uttar Pradesh,9,174,174,0.268948555,,0.240296811,0.540210724,,0.397955686,0.190840721,,0.361747503,0.402657926,,0.292588115,0,,0,0.041171033,,0.084210433,0.431267768,,0.62320143,0.163365886,,0,0,,0,0.440511316,,0.460709125,0.559488654,,0.539290845
Allahabad,Uttar Pradesh,9,175,175,0.434140801,0.555425346,0.379508942,0.32979244,0.333527356,0.220981076,0.236066759,0.111047268,0.399509966,0.354132354,0.222480088,0.35163632,0.064532034,0,0,0.131635889,0.182160825,0.255434513,0.376050889,0.413198262,0.281837881,0.093674421,0.253274381,0.111091301,0.050064974,0,0.041119352,0.354134649,0.769544661,0.45898214,0.59580034,0.230455354,0.499898493
Bara Banki,Uttar Pradesh,9,176,176,0.148299307,1,0.346963614,0.777353525,0,0.653036416,0.074347176,0,0,0.329457223,0.311062664,0.415793389,0,0,0,0.125801146,0,0.245976612,0.512985349,0.688937366,0.262429923,0.141208023,0,0.075800069,0,0.688937366,0,0.373840094,0,0.5801543,0.626159906,0.311062664,0.41984567
Faizabad,Uttar Pradesh,9,177,177,0.299381852,0.400000006,0.526469707,0.492471546,0.600000024,0.321118832,0.208146602,0,0.152411461,0.390375257,0.75,0.316990852,0.028179208,0.25,0,0.207291886,0,0.062132861,0.317795247,0,0.620876253,0.110548094,0,0.103977501,0.026010476,0,0,0.56689465,0.25,0.625816345,0.407094836,0.75,0.374183655
Ambedkar Nagar,Uttar Pradesh,9,178,178,0.331633687,,0.563159168,0.542702556,,0.344159603,0.125663757,,0.092681237,0.431279302,,0.269467503,0.062007163,,0.038230877,0.137587547,,0.155387744,0.334914416,,0.512451887,0.072144009,,0.048923988,0.027795585,,0.019551579,0.624271631,,0.585679173,0.347932786,,0.394769251
Sultanpur,Uttar Pradesh,9,179,179,0.537705898,0.400000006,0.178292125,0.312018752,0.600000024,0.596115947,0.150275379,0,0.225591928,0.302511692,0.200000003,0.500672877,0,0,0,0.074297741,0,0.042815391,0.510865152,0.800000012,0.410802394,0.190722734,0,0.088524722,0,0,0.091418669,0.623323262,0.800000012,0.549259305,0.376676738,0.200000003,0.359322011
Bahraich,Uttar Pradesh,9,180,180,0.336209148,0,0.503500462,0.538366258,1,0.431910902,0.125424623,0,0.064588651,0.154830068,1,0.304032385,0,0,0.080111541,0.154830068,0,0.063982889,0.505409479,0,0.389323205,0.359717995,0,0.080111541,0.087709323,0,0.082438417,0.912290692,1,0.466867477,0,0,0.450694114
Shrawasti,Uttar Pradesh,9,181,181,0.18161808,,0.472772568,0.818381906,,0.527227402,0,,0,0.18161808,,0.384984583,0.105929464,,0,0.500593543,,0.173905119,0.317788392,,0.441110313,0.211858928,,0.086341888,0.211858928,,0.086341888,0.682211637,,0.821942985,0.105929464,,0.091715105
Balrampur,Uttar Pradesh,9,182,182,0.385009795,0.357623279,0.490892649,0.558998346,0.463565111,0.470646828,0.055991877,0.17881164,0.038460523,0.227054089,0.32118836,0.241371989,0,0,0,0.111983754,0,0.151995257,0.615150452,0.142376736,0.444033325,0.274569333,0.536434889,0.246973008,0.059039727,0.17881164,0,0.737353086,0.284753472,0.790456057,0.203607202,0.536434889,0.209543929
Gonda,Uttar Pradesh,9,183,183,0.136048764,1,0.400960386,0.782336235,0,0.599039614,0.081614979,0,0,0.391696423,0,0.284089535,0.068024382,0,0.042343359,0.079243109,0,0.08988224,0.312768608,1,0.383035123,0.299271047,0,0.336988777,0.133312672,0,0.091670074,0.553918719,1,0.632611811,0.312768608,0,0.275718123
Siddharth Nagar,Uttar Pradesh,9,184,184,0.105268635,0,0.388227731,0.841795087,1,0.611772299,0.052936301,0,0,0.378696531,0.333333343,0.493003249,0,0,0,0.169521794,0,0.104777902,0.285901189,0.333333343,0.23300685,0.28084445,0.333333343,0.227356061,0,0.333333343,0.223196566,0.608830154,0.333333343,0.385871172,0.391169816,0.333333343,0.390932262
Basti,Uttar Pradesh,9,185,185,0.28178075,,0.276449263,0.718219221,,0.687258422,0,,0.036292288,0.402426273,,0.27285856,0,,0,0.193631172,,0.07378836,0.253712863,,0.457580656,0.150229678,,0.250144005,0.040048834,,0.034937501,0.506946146,,0.501711667,0.453004986,,0.463350832
Sant Kabir Nagar,Uttar Pradesh,9,186,186,0.452844054,,0.301473528,0.519298494,,0.660911083,0.027857438,,0.037615377,0.274759173,,0.208090007,0.065704219,,0,0.096637145,,0.235971689,0.367901891,,0.492750764,0.281921923,,0.189108759,0.027857438,,0.127850235,0.788820446,,0.644332647,0.183322102,,0.227817133
Maharajganj,Uttar Pradesh,9,187,187,0.29514879,,0.155456036,0.70485121,,0.844543993,0,,0,0.354194671,,0.167733431,0,,0.055096529,0,,0.10403879,0.546761036,,0.442948669,0.14883846,,0.288853943,0,,0.10820017,0.593960524,,0.72706151,0.406039476,,0.164738342
Gorakhpur,Uttar Pradesh,9,188,188,0.401340455,0.254306436,0.500324845,0.489538759,0.745693564,0.449792802,0.109120756,0,0.049882375,0.300189465,0.254306436,0.403746784,0,0,0,0.069558196,0,0.102655955,0.528984845,0.491387099,0.394147187,0.175713405,0.508612871,0.149017811,0.033004481,0,0.049882375,0.731672108,0,0.552782595,0.235323414,1,0.397335052
Kushinagar,Uttar Pradesh,9,189,189,0.41764915,0.333333343,0.445034832,0.477043569,0.333333343,0.439477295,0.105307274,0.333333343,0.115487881,0.366765529,0.333333343,0.398335069,0,0,0,0.287316352,0.333333343,0.115487881,0.204913005,0.333333343,0.372500211,0.21012716,0,0.186895728,0.037325732,0,0.079076059,0.652097225,0.333333343,0.629630744,0.310577035,0.666666687,0.291293204
Deoria,Uttar Pradesh,9,190,190,0.395341665,0,0.29452467,0.604658365,1,0.540093422,0,0,0.165381879,0.203855664,0,0.246920899,0.053819716,0,0.044370968,0.084635653,0,0.161108956,0.519974828,1,0.455158234,0.190494701,0,0.137332276,0.058100507,0,0,0.580023646,1,0.616165459,0.361875862,0,0.383834541
Azamgarh,Uttar Pradesh,9,191,191,0.51851052,0,0.331319094,0.48148948,1,0.552137613,0,0,0.116543286,0.241923138,0.081733495,0.386212796,0.057712495,0,0,0.184967622,0,0.261298656,0.385794193,0.83653301,0.311618119,0.278779894,0.16346699,0.145749256,0.117724806,0.081733495,0,0.446900219,0.83653301,0.764666438,0.435374975,0.081733495,0.235333592
Mau,Uttar Pradesh,9,192,192,0.397431374,,0.578555167,0.491308481,,0.421444803,0.111260146,,0,0.397022724,,0.213264748,0,,0.076751933,0.15206793,,0.167650551,0.450909346,,0.438113123,0.025914405,,0.104219653,0,,0.052986443,0.593864262,,0.732254803,0.406135738,,0.214758739
Ballia,Uttar Pradesh,9,193,193,0.378259301,0.5,0.462736964,0.45047754,0.5,0.387307256,0.171263158,0,0.149955779,0.381652594,0.5,0.39587155,0,0,0,0.130007118,0,0.132057205,0.400913179,0.5,0.34090209,0.107714012,0,0.131169155,0.088796757,0,0.024017848,0.482281029,0,0.778379619,0.428922206,1,0.197602555
Jaunpur,Uttar Pradesh,9,194,194,0.441286534,0.203505158,0.461530507,0.47210294,0.796494842,0.452907771,0.086610533,0,0.085561723,0.568158209,0,0.382519603,0.02146114,0,0,0.021660823,0,0.186472908,0.313441038,0.796494842,0.381455302,0.118781984,0.407010317,0.110998742,0,0,0,0.478741974,0.592989683,0.565712035,0.521257997,0.407010317,0.434287995
Ghazipur,Uttar Pradesh,9,195,195,0.373904467,0,0.475093901,0.54315871,1,0.403768986,0.082936801,0,0.12113709,0.298422337,0,0.32846567,0,0,0.030342652,0.093928367,1,0.115426213,0.488145679,0,0.378436923,0.252577394,0,0.235096559,0.07801751,0,0.059927266,0.517418981,1,0.411566943,0.404563516,0,0.528505802
Chandauli,Uttar Pradesh,9,196,196,0.512685657,0.280272424,0.479043007,0.367662162,0.719727576,0.487675369,0.119652197,0,0.033281606,0.390652388,0.390136212,0.294782817,0,0.109863788,0,0.112413019,0.219727576,0.1674494,0.438026756,0.170408636,0.510434926,0.145619467,0.280272424,0.099002041,0.030540958,0,0.036721393,0.488065988,0.5,0.507059097,0.481393039,0.5,0.456219524
Varanasi,Uttar Pradesh,9,197,197,0.414448738,0.47392574,0.495109379,0.470289588,0.443440765,0.381554514,0.115261681,0.082633488,0.123336129,0.40608561,0.310009003,0.452727079,0,0,0,0.065009154,0.168834999,0.132700011,0.492056817,0.450282305,0.362219721,0.109933555,0.10978584,0.052353181,0.028076965,0,0.090340167,0.486157924,0.580967486,0.682872355,0.485765129,0.419032514,0.226787478
Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,9,198,198,0.551148713,0.467240512,0.52235204,0.356968254,0.401721537,0.311456054,0.091883034,0.131037965,0.166191906,0.538072407,0.693448126,0.641865909,0.053409304,0,0.044955026,0.134609953,0.080344304,0.040626831,0.198084667,0.145863295,0.159463674,0.102636248,0.080344304,0.153826222,0,0,0,0.525004268,0.839311361,0.36355415,0.474995703,0.160688609,0.63644582
Mirzapur,Uttar Pradesh,9,199,199,0.422103941,,0.3287929,0.489616156,,0.579152405,0.088279888,,0.092054687,0.357015282,,0.478950679,0.056398805,,0,0.227558449,,0.240017876,0.335185409,,0.233222499,0.088955559,,0.047808956,0.03255675,,0,0.648828447,,0.67731601,0.318614811,,0.32268396
Sonbhadra,Uttar Pradesh,9,200,200,0.45051381,0.5,0.370247185,0.276551813,0.5,0.51067996,0.272934377,0,0.119072825,0.546850741,0.5,0.859541178,0,0,0,0.093769461,0,0,0.359379828,0.5,0.140458837,0.091133974,0,0,0,0,0,0.548436224,0.5,0.64143604,0.451563746,0.5,0.358563989
Etah,Uttar Pradesh,9,201,201,0.455174565,0.550711513,0.490904123,0.427134931,0.241077632,0.313711613,0.117690518,0.208210856,0.195384249,0.39719373,0.309633881,0.385502189,0,0,0.023057848,0.078987718,0.208210856,0.120584317,0.424488753,0.482155263,0.411144257,0.211967841,0.101423025,0.060929917,0.038356688,0,0.023057848,0.566371381,0.657499313,0.506386459,0.395271927,0.342500657,0.470555693
Kansiram Nagar,Uttar Pradesh,9,202,202,0.443757921,0.502478361,0.538448453,0.356737971,0.497521639,0.276452661,0.199504107,0,0.185098886,0.352506459,0.48465699,0.540500283,0.036414947,0.173433244,0,0.061256319,0.168476552,0.110572487,0.517041445,0.173433244,0.292709947,0.097405575,0,0.05621732,0,0,0.083374023,0.597586691,0.688776255,0.521546543,0.402413279,0.311223745,0.395079464
Pashchim Champaran,Bihar,10,203,203,0.478063911,0.329075873,0.48625806,0.521936119,0.670924127,0.413226068,0,0,0.100515872,0.445606083,0.493613809,0.339556396,0.059485763,0,0.145648897,0.056681182,0,0.157886595,0.177653089,0.329075873,0.25661847,0.260573894,0.506386161,0.100289635,0.06619937,0.25319308,0.054028977,0.371797174,0.329075873,0.440759689,0.562003434,0.417731017,0.505211294
Purba Champaran,Bihar,10,204,204,0.413220853,1,0.395128757,0.586779177,0,0.604871213,0,0,0,0.306563377,0,0.599820435,0,0,0,0.207632542,0,0.200089782,0.485804111,1,0.105438501,0,0,0.094651282,0,0,0,0.693436623,0,0.607629478,0.306563377,1,0.392370522
Sheohar,Bihar,10,205,205,0.506576777,,0.507179081,0.44518286,,0.440162778,0.048240375,,0.052658152,0.423736155,,0.41675204,0.074236624,,0.081035092,0.088797241,,0.096929155,0.413229972,,0.405283719,0,,0,0,,0,0.493061572,,0.446636945,0.506938457,,0.553363085
Sitamarhi,Bihar,10,206,206,0.292212576,,0.428661108,0.582717419,,0.480662495,0.125070021,,0.090676412,0.528642774,,0.556395531,0,,0,0.117623955,,0.135348842,0.198259845,,0.182594284,0.196596652,,0.172981471,0.10920509,,0.125661328,0.349138498,,0.403082103,0.541656435,,0.471256554
Madhubani,Bihar,10,207,207,0.346636504,0.666666687,0.3819215,0.594298422,0.333333343,0.51514101,0.059065081,0,0.102937497,0.45365411,0.333333343,0.381212115,0.065405458,0,0.111116916,0.136408746,0,0.115557984,0.305851638,0.666666687,0.363634378,0.05855222,0,0.106125988,0.045816511,0,0.059105683,0.350755244,0.666666687,0.497741431,0.603428245,0.333333343,0.443152875
Supaul,Bihar,10,208,208,0.502189815,,0.511453927,0.427737594,,0.391258597,0.070072576,,0.097287484,0.490701228,,0.450155377,0,,0,0.042144325,,0.09632875,0.425010115,,0.355699629,0.084288649,,0.129979476,0,,0,0.425709367,,0.45468992,0.574290633,,0.54531008
Araria,Bihar,10,209,209,0.406532556,0.75,0.48738423,0.501683533,0.25,0.377326965,0.091783896,0,0.13528882,0.183824569,0.5,0.286709905,0.091783896,0,0,0,0,0,0.643960059,0.5,0.646640062,0.172472164,0,0.218071088,0,0,0,0.782286167,0.5,0.646433473,0.217713818,0.5,0.353566527
Kishanganj,Bihar,10,210,210,0.517358005,0,0.437846512,0.447709441,1,0.562153459,0.034932572,0,0,0.21452339,0,0.364205956,0,0,0.035464603,0.042656556,0,0.035067499,0.475339502,1,0.413498789,0.302413106,1,0.19132337,0.081734091,0,0.038475029,0.435432285,0,0.559281886,0.482833624,1,0.402243108
Purnia,Bihar,10,211,211,0.388585985,0.666666687,0.431133151,0.475227326,0,0.176965252,0.136186719,0.333333343,0.391901612,0.274030775,0.333333343,0.595577955,0.112321824,0,0.07010515,0.130094662,0.333333343,0.040303685,0.442765623,0.333333343,0.294013202,0.126050785,0.333333343,0.07010515,0,0,0.036597755,0.427495629,0.333333343,0.24443844,0.572504401,0.666666687,0.718963802
Katihar,Bihar,10,212,212,0.480900049,0.137754396,0.505340397,0.390192538,0.56887722,0.273557186,0.128907427,0.293368399,0.221102417,0.468020827,0.137754396,0.440970153,0.046488248,0.155614018,0,0.185952991,0,0.055078723,0.299537927,0.706631601,0.392097771,0.041313067,0,0.167576596,0,0,0.113000937,0.361539364,0.413263172,0.385814011,0.638460636,0.586736798,0.50118506
Madhepura,Bihar,10,213,213,0.357835829,0.5,0.615710974,0.277927846,0.25,0.27011314,0.364236355,0.25,0.114175856,0.648998201,0.25,0.621837437,0,0,0.054024711,0,0,0.162674755,0.351001799,0.5,0.1074384,0,0.5,0.054024711,0.068672054,0,0.108049423,0.217374682,0.5,0.388320446,0.713953257,0.5,0.503630161
Saharsa,Bihar,10,214,214,0.282533199,,0.468751997,0.549409628,,0.398488343,0.168057173,,0.13275966,0.49721393,,0.529058576,0.028437268,,0,0.112747684,,0.13344565,0.333337307,,0.2700212,0.112805791,,0.134949073,0,,0,0.554490924,,0.66735971,0.445509076,,0.33264029
Darbhanga,Bihar,10,215,215,0.570204794,0.754812002,0.590364814,0.334752053,0,0.322941482,0.095043167,0.245187998,0.086693682,0.554563105,0.245187998,0.562554538,0,0,0,0.072401591,0,0.065125205,0.250373065,0.754812002,0.281182587,0.141039416,0.490375996,0.091137677,0.049078166,0,0,0.510878742,1,0.590755641,0.440043092,0,0.409244359
Muzaffarpur,Bihar,10,216,216,0.323912054,0.217563018,0.29204759,0.548767388,0.608781517,0.553842783,0.127320558,0.173655465,0.154109597,0.268055409,0.34731093,0.237173036,0.058849931,0,0.057815205,0.208998978,0,0.203232318,0.391407341,0.652689099,0.467491418,0.195723966,0.217563018,0.12540403,0.05838111,0,0.057354625,0.727138638,0.217563018,0.707172155,0.214480251,0.782436967,0.235473186
Gopalganj,Bihar,10,217,217,0.514713109,0,0.564194143,0.435926408,1,0.381134242,0.049360499,0,0.05467163,0.436451435,0,0.299401373,0.036856327,0,0.094798386,0.171167105,0,0.324842989,0.142472357,1,0.146791726,0.259013206,0,0.174060777,0.084275544,0,0.093343489,0.5211972,0,0.64807719,0.394527286,1,0.258579344
Siwan,Bihar,10,218,218,0.398267061,0.666666687,0.36586526,0.530562103,0.333333343,0.458016038,0.071170852,0,0.176118717,0.454037368,0.333333343,0.470829785,0.047585696,0,0.033522382,0.109272011,0,0.06367369,0.362096995,0.666666687,0.402570873,0.124178156,0.333333343,0.092975177,0,0,0,0.588526607,0.333333343,0.527717769,0.411473423,0.666666687,0.472282231
Saran (chhapra),Bihar,10,219,219,0.449490458,0,0.573543489,0.430529416,1,0.34354198,0.119980134,0,0.082914531,0.5499596,0.75292784,0.543260694,0,0,0,0.093460165,0,0.115856014,0.310117483,0.24707213,0.284133643,0.046462726,0,0.056749612,0.024601873,0,0.03004875,0.466387123,0.505855739,0.572106123,0.509010971,0.494144261,0.397845149
Vaishali,Bihar,10,220,220,0.366580367,0.642857134,0.427288741,0.504032195,0.357142866,0.449250132,0.129387423,0,0.12346112,0.451346725,0.571428597,0.395437092,0.013787209,0,0.016162651,0.123039082,0,0.128075227,0.351169378,0.285714298,0.389216542,0.084729113,0.214285716,0.071108483,0.013787209,0.071428575,0.016162651,0.576228023,0.357142866,0.558018863,0.409984797,0.571428597,0.425818473
Samastipur,Bihar,10,221,221,0.429679245,,0.339795142,0.494496107,,0.480207205,0.075824648,,0.179997638,0.496075481,,0.444864452,0.036692563,,0.070547991,0.041514643,,0,0.389730692,,0.414472371,0.115089029,,0.108924821,0,,0,0.349457532,,0.408511937,0.650542438,,0.591488063
Begusarai,Bihar,10,222,222,0.39073658,0,0.280435264,0.462795198,1,0.603168607,0.146468237,0,0.116396114,0.547698319,1,0.485845983,0.020396907,0,0,0.11171367,0,0.197315261,0.24316141,0,0.195620641,0.097426601,0,0.121218108,0.035801735,0,0.038672443,0.576401532,0,0.688511789,0.38779673,1,0.272815794
Khagaria,Bihar,10,223,223,0.572766364,0.75,0.696061015,0.31684649,0,0.157031611,0.110387139,0.25,0.146907374,0.375035316,0.25,0.199251249,0.028862072,0,0,0.057259474,0.25,0.102560915,0.508758664,0.25,0.645843983,0.086121544,0.5,0.102560915,0.030084454,0,0.052343868,0.372883588,0.5,0.506933987,0.597031951,0.5,0.440722138
Bhagalpur,Bihar,10,224,224,0.448711008,0.369156331,0.484248281,0.451555818,0.630843699,0.421887934,0.099733181,0,0.093863763,0.600457311,0.630843699,0.677526534,0.120894141,0,0.091796853,0.100450344,0.184578165,0.04940794,0.088195451,0.184578165,0.131364644,0.113413885,0.077109188,0.093596049,0.023411145,0,0.043692011,0.524067461,0.738312662,0.568408608,0.452521414,0.261687338,0.387899339
Banka,Bihar,10,225,225,0.344153106,0.75,0.344615668,0.515748739,0.25,0.508575201,0.140098125,0,0.146809131,0.516579449,0.25,0.460730165,0,0,0.036054783,0.110666603,0,0.073729031,0.339370847,0.5,0.429486006,0.033383094,0.25,0,0,0,0,0.627734721,0.75,0.616859317,0.372265249,0.25,0.383140683
Munger,Bihar,10,226,226,0.535689592,0.427757353,0.70212549,0.28773579,0.398656666,0.19414404,0.176574618,0.173585966,0.103730448,0.48026821,0.465837121,0.386781156,0.057240117,0.067180432,0.070688479,0.122039668,0.086792983,0.1432385,0.239571452,0.394739807,0.295596957,0.131988823,0.052630093,0.140933231,0.091335088,0.086792983,0.070688479,0.366339833,0.447369903,0.396351129,0.542325079,0.465837121,0.532960415
Lakhisarai,Bihar,10,227,227,0.416645259,1,0.487072498,0.502458453,0,0.440688252,0.080896303,0,0.072239257,0.634816051,0,0.689378977,0.021350287,0,0.047933575,0.061388534,0,0.116853014,0.23899816,1,0.116157532,0.062076449,1,0.050849922,0,0,0,0.365909845,1,0.413038433,0.634090185,0,0.586961567
Sheikhpura,Bihar,10,228,228,0.412356168,1,0.550963581,0.447014928,0,0.289084584,0.140628904,0,0.159951851,0.516462564,0.522812486,0.544841707,0,0,0,0.039267953,0.109795317,0.031876516,0.353521824,0.367392212,0.281176984,0.107859515,0.109795317,0.164923862,0.015441658,0.147801578,0.041682236,0.51173085,0.48480621,0.506412387,0.472827524,0.367392212,0.45190534
Nalanda,Bihar,10,229,229,0.559295118,0.525305986,0.413971603,0.374827087,0.367666692,0.529855251,0.065877773,0.10702733,0.056173179,0.39241761,0.214054659,0.45165202,0.040812731,0,0.052965526,0.167873234,0.10702733,0.187935814,0.285792142,0.446486324,0.250481158,0.160129949,0.23243168,0.083448239,0.047025651,0.130319685,0.026482763,0.544315219,0.451401681,0.609863341,0.408659101,0.418278635,0.363653898
Patna,Bihar,10,230,230,0.327033132,0.360758334,0.281978875,0.537215889,0.625558913,0.564103246,0.135750964,0.013682759,0.153917909,0.285355926,0.345300227,0.287320077,0.014481236,0,0.022615697,0.106594488,0.14334847,0.110722169,0.551609099,0.441506207,0.55787003,0.140367717,0.118977517,0.146929368,0.064112857,0.018348221,0.062036313,0.666725755,0.494193375,0.656308234,0.269161403,0.487458408,0.281655461
Bhojpur,Bihar,10,231,231,0.425153553,0.491696328,0.52410835,0.574846447,0.508303642,0.43324545,0,0,0.042646196,0.504999697,0.547508895,0.607856393,0.022934878,0.150830373,0,0.131464899,0.150830373,0.097617269,0.269713432,0.150830373,0.191447869,0.116259083,0,0.127729222,0.072471768,0.05581256,0.079621844,0.389549911,0.698339283,0.403231174,0.537978292,0.245848164,0.517146945
Buxar,Bihar,10,232,232,0.356450707,0.365810454,0.393751621,0.583472371,0.317094773,0.526201844,0.060076937,0.317094773,0.080046535,0.498243988,0.408547372,0.382454306,0,0,0.026212977,0.096801594,0.091452613,0.093211114,0.337492168,0.5,0.359232694,0.085739881,0.182905227,0.13888891,0.073555298,0,0.032517601,0.387546629,0.182905227,0.518436849,0.53889811,0.817094743,0.449045569
Kaimur (bhabua),Bihar,10,233,233,0.2428343,0.600000024,0.358405113,0.629503846,0.200000003,0.507128298,0.127661854,0.200000003,0.134466603,0.36754787,0.200000003,0.686078012,0.030250579,0,0.084182285,0.160488203,0.200000003,0.183921903,0.441713333,0.200000003,0.045817792,0,0.400000006,0,0,0,0,0.501886427,0.400000006,0.409588695,0.498113573,0.600000024,0.590411305
Rohtas,Bihar,10,234,234,0.357551873,0.4517515,0.537928343,0.542057157,0.548248529,0.355838567,0.100391001,0,0.106233113,0.377946734,0.22587575,0.443683803,0,0.107457586,0,0.089584202,0.333333343,0,0.48965317,0.333333343,0.534049094,0.103664644,0,0.042180531,0.016415559,0,0.018127464,0.530263722,0.677627265,0.514215827,0.453320712,0.322372764,0.467656732
Aurangabad,Bihar,10,235,235,0.369999826,0,0.215798929,0.570909441,1,0.668124735,0.0590907,0,0.116076328,0.452006936,0.802030504,0.453444868,0.04953881,0,0,0.147224247,0,0.197278038,0.351230025,0,0.349277109,0,0,0,0,0,0,0.525326133,0.598984718,0.515581787,0.474673867,0.401015252,0.484418184
Gaya,Bihar,10,236,236,0.320025027,0.666666687,0.339575231,0.443284005,0.333333343,0.44157204,0.236690968,0,0.218852729,0.427497029,0.666666687,0.469681561,0,0,0,0.129328117,0,0.096937992,0.418034673,0.333333343,0.383057594,0.146896258,0,0.163704872,0.025140192,0,0.027368065,0.499897867,1,0.561148822,0.474961966,0,0.411483109
Nawada,Bihar,10,237,237,0.343295544,0.371787697,0.450277627,0.656704426,0.628212333,0.501097381,0,0,0.048625007,0.392761767,0.123929232,0.403974473,0,0,0.052143171,0.217076957,0.123929232,0.195988223,0.390161276,0.752141535,0.347894132,0,0,0,0,0,0,0.564931154,0.871787667,0.498502046,0.435068876,0.128212303,0.501497924
Jamui,Bihar,10,238,238,0.529714584,1,0.451625705,0.287976801,0,0.358397484,0.182308629,0,0.189976811,0.575630665,0,0.519055009,0,0,0,0.044908486,0.522206485,0.029370718,0.332856685,0.477793485,0.425100982,0.093208365,0,0.081368595,0,0,0,0.415683359,0.522206485,0.427998424,0.584316671,0.477793485,0.572001576
Jehanabad,Bihar,10,239,239,0.523244202,0.278369725,0.518820643,0.42085743,0.525705993,0.417690903,0.055898346,0.195924282,0.063488446,0.389908433,0.44326058,0.302500159,0.090008706,0.082445428,0.038741998,0.097469077,0.082445428,0.1399993,0.268293828,0.252663702,0.343484432,0.154319942,0.139184862,0.175274119,0.086140744,0,0.051090963,0.545192182,0.94326055,0.474944621,0.368667066,0.056739427,0.473964423
Arwal,Bihar,10,240,240,0.458548695,0.410165489,0.382500172,0.502174735,0.589834511,0.591584384,0.039276548,0,0.025915457,0.493493676,0.205082744,0.518247187,0.086586729,0.205082744,0.054122578,0.043601565,0.179669023,0.025915457,0.312956542,0.410165489,0.326654106,0.108829834,0,0.103099488,0.037308857,0,0,0.48897016,0.384751767,0.569644809,0.473720968,0.615248203,0.430355191
North,Sikkim,11,241,241,0.219409585,0.591086328,0.297644585,0.720497608,0.408913642,0.702355444,0.06009277,0,0,0.1063933,0,0.141534671,0.024550969,0,0,0.178931415,0,0.114320166,0.477065563,0.591086328,0.533866286,0.228507727,0.408913642,0.287864745,0.038729776,0,0.03956141,0.735683382,1,0.676294804,0.225586861,0,0.284143776
